"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Norfolk (England)","general term","008806131","Monograph","Language material ; Text","Volume","GB9654422","9780948400391","Dye, Margaret","","person","","Dye, Margaret [person]","More memories from the marshes : people of the Broads, past and present","","","","England","Dereham","Larks Press","1996","","ii, 55 pages, illustrations, facsimiles, 1 map, portraits, 21 cm","942.617","YK.1996.a.20431","","English",""
"Norfolk (England)","general term","012690369","Monograph","Language material ; Text","Volume","GB9494511","9781855261594","Utting, Jan","","person","","Randall, Nadine [person] ; Rycroft, Ian [person] ; Norfolk Inspection Advice and Training Services [organisation] ; Utting, Jan [person] ; Norfolk (England), County Council [organisation]","The broads : a study in land use","","National Curriculum geography. Key stage 3","","England","Norwich","Norfolk Educational Press","1994","","1 volume (loose-leaf), chiefly colour illustrations, maps, 31 cm + 1 video cassette","333.76160942617","Cup.938/255 ; LB.31.c.6593","","English","At foot of cover: Inspection, Advice and Training Services, Norfolk County Council ; In ring binder ; Video cassette in front pocket"
"Norfolk (England)","geographical term","008803999","Monograph","Language material ; Text","Volume","GB9361114","9780948119170","Broads Authority","","organisation","","Broads Authority [organisation]","No easy answers : draft Broads plan 1993","","","","England","Norwich","Broads Authority","1993","","158 pages, illustrations, 30 cm","307.12 ; 333.916 ; 577","OP-LG/7429 ; YK.1996.b.5922","","English",""
"Norfolk (England)","geographical term","008806131","Monograph","Language material ; Text","Volume","GB9654422","9780948400391","Dye, Margaret","","person","","Dye, Margaret [person]","More memories from the marshes : people of the Broads, past and present","","","","England","Dereham","Larks Press","1996","","ii, 55 pages, illustrations, facsimiles, 1 map, portraits, 21 cm","942.617","YK.1996.a.20431","","English",""
"Norfolk (England)","geographical term","016549221","Monograph","Language material ; Text","Volume","","9780947630119","Dye, Margaret","","person","author","Dye, Margaret, author [person]","Memories of mill and marsh","","","","England","Dereham, Norfolk","Nostalgia Publications","1993","","36 pages, black and white illustrations, 25 cm","942.617","YD.2014.a.305","","English",""
"Norfolk (England)--Guidebooks","geographical term","009690762","Monograph","Language material ; Text","Volume","GB7105966","9780706354119","","","","","Hammond, Reginald J. W. [person]","The Broads and the Norfolk coast : including Great Yarmouth, Norwich, Cromer, Sheringham and the coast","","Red guide","","England","London","Ward Lock","1971","6th edition, edited by Reginald J.W. Hammond","160 pages, 13 plates (1 folded), illustrations, maps (chiefly colour), 19 cm","914.261","X.808/6898","Guidebook","English","Previous edition: 1968"
"Norfolk (England)--Guidebooks","geographical term","012031363","Monograph","Language material ; Text","Volume","GBA041910","9781853066214","Pratt, Geoff","","person","","Pratt, Geoff [person]","Waterside walks in Norfolk","","Waterside walks","","England","Newbury","Countryside","2000","","96 pages, illustrations, maps, 21 cm","914.261","YK.2001.a.9287","Guidebook","English",""
"Norfolk (England)--Guidebooks","geographical term","013684056","Monograph","Language material ; Text","Volume","GBA716897","9781843063278","Buckley, Norman","","person","","Buckley, June [person] ; Buckley, Norman [person]","Norfolk & the Broads","","Landmark visitors guide","","England","Ashbourne","Landmark","2007","","96 pages, illustrations (some colour), colour maps, 22 cm","914.2610486","YK.2009.a.4007","Guidebook","English","Includes index"
"Norfolk (England)--Guidebooks","geographical term","015660059","Monograph","Language material ; Text","Volume","GBB0B7127","9781843065173","Buckley, Norman","","person","","Buckley, June [person] ; Buckley, Norman [person]","Norfolk & the Broads","","Landmark visitors guide","","England","Ashbourne","Horizon","2011","","96 pages, illustrations (some colour), colour maps, 22 cm","914.2610486","YK.2012.a.3435","Guidebook","English","Includes index ; Previous edition: 2007"
"Norfolk (England)--Guidebooks","geographical term","019574288","Monograph","Language material ; Text","Volume","GBB9G9769","9781916156234","Wright, Wayne, Mountaineer, fell walker","","person","author","Wright, Wayne, Mountaineer, fell walker, author [person]","The barking guide to the Norfolk Fells : being an illustrated account of the geography and folklore of the mountains and lakes in the county of Norfolk. Vol. 3. The Norfolk lake district","Norfolk lake district","","","United Kingdom","","Wayne Wright","2019","","39 pages, illustrations, maps, portraits, 22 cm","","YKL.2020.a.10125","Guidebook","English","Title from cover"
"Norfolk (England)--Historical geography","geographical term","008765208","Monograph","Language material ; Text","Volume","GB9768126","9780719048005 ; 9780719048012","Williamson, Tom","1955-","person","","Williamson, Tom, 1955- [person]","The Norfolk broads : a landscape history","","","","England","Manchester","Manchester University Press","1997","","185 pages, illustrations, maps, 25 cm","914.2617","98/0564 ; YK.1997.b.6831","","English","Includes index"
"Norfolk (England)--Maps","geographical term","013754226","Monograph","Cartographic image ; Cartographic material","Sheet","","9780007219568","Nicholson (Firm)","","organisation","","Frew, Cicely [person] ; HarperCollins (Firm) [organisation] ; Nicholson (Firm) [organisation] ; Collins Bartholomew Ltd [organisation]","Inland waterways map of the Norfolk Broads","Collins Nicholson inland waterways map of the Norfolk Broads","","","England","Hammersmith, London","Nicholson","2007","","1 map, colour, 85 x 89 cm, folded in cover 24 x 14 cm","912.42617","Maps 220.b.550","Map","English","'First published by Nicholson 2007.' ; Also shows points of interest ; At head of titles: Collins / Nicholson ; Copyright: HarperCollins Publishers Ltd. 2007. Mapping: Collins Bartholomew Ltd. 2007 ; Includes text, descriptive index to points of interest, tables of 'Journey times', indexed table of waterway-related businesses, inset of central Norwich, and colour illustrations ; Table of contents, publisher's list of canal guidebooks, specimen map, and colour illustrations on cover ; Title from cover and sheet"
"Norfolk (England)--Pictorial works","geographical term","015612310","Monograph","Language material ; Text","Volume","GBB090573","9781906690267","Garner, Tony","1944-","person","","Hill, Adrian, Owner of Picturecraft Gallery [person] ; Garner, Tony, 1944- [person]","Tony Garner's enchanted light : pastels of Norfolk & The Broads","Enchanted light","","","England","Wellington","Halstar","2010","","128 pages, colour illustrations, 25 x 27 cm","741.235","LC.31.a.10575","Pictorial work","English",""
"Norfolk Broads","general term","007399857","Monograph","Language material ; Text","Volume","","9780711701960","","","","","Beesley, Julie A. [person]","What to do on the Norfolk Broads","","","","England","Norwich","Jarrold","1986","","72 pages, illustrations","914.261704858","LB.31.a.4913","Guidebook ; Periodical","English",""
"Norfolk Broads","general term","007399995","Monograph","Language material ; Text","Volume","GB9043229","9780711703902","","","","","Beesley, Julie A. [person]","What to do on the Norfolk Broads","","","","England","Norwich","Jarrold","1989","","72 pages, illustrations, maps, 20 x 25 cm","914.261704858","LB.31.a.2584","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads","general term","008803990","Monograph","Language material ; Text","Volume","GB8752780","9780948119019","","","","","Broads Authority [organisation]","Where to go? : planning a trip to the Broads","","Broads fact pack","","England","Norwich","Broads Authority","1985","","24 pages, illustrations, maps, 30 cm","914.261704858","YC.1987.b.6647","Guidebook","English","1 map attached to inside back cover"
"Norfolk Broads","general term","008815428","Monograph","Language material ; Text","Volume","GB8315406","9780950659206","Poole, David","1936-","person","","Poole, David, 1936- [person]","Broadland sketches","","","","England","Norwich","Wilson-Poole","1980","","80 pages, illustrations, portraits, 30 cm","942.61708580222","X.425/3734","","English",""
"Norfolk Broads","general term","011983256","Monograph","Language material ; Text","Volume","GB8700892","9780702807725","Le Surf, Jeanne","1929-","person","","Le Surf, Jeanne, 1929- [person]","Explore the Broads : 35 walks","","A Bartholomew map & guide","","Scotland","Edinburgh","Bartholomew","1987","","64, colour maps, 22 cm","914.261704858","YC.1988.a.9114","Guidebook ; Periodical","English",""
"Norfolk Broads--1880-1890","general term","012676634","Monograph","Language material ; Text","Volume","GB8112281","9780903619233","","","","","Middleton, C. S. [person]","The Broadland photographers","","","","England","Norwich ; Orford Place, Norwich NR13","Wensum","1978","","95 pages, illustrations, portraits, 22 cm","942.6170810222","X.429/11914","","English",""
"Norfolk Broads--Boating","general term","007359966","Monograph","Language material ; Text","Volume","GB7624563","9780214202858","Simpkin, Richard","1921-1986","person","","Walmsley, Nicholas [person] ; Simpkin, Richard, 1921-1986 [person] ; Emerson, Chas [person]","Broadmanship : a guide to safe boating on the Norfolk Broads","","","","England","London","Barrie & Jenkins ; Bayard","1976","","95 pages, illustrations, 1 map, 22 cm","797.10942617","X.619/16909","","English",""
"Norfolk Broads--Description & travel","general term","008784956","Monograph","Language material ; Text","Volume","GB7607079","9780851221120","Althea","","person","","East Anglia Tourist Board [organisation] ; Althea [person] ; Barge, Veronica [person]","Exploring the Broads","","","","England","Ipswich ; Museum Street, Ipswich, Suffolk","East Anglia Tourist Board","1975","","24 pages, colour illustrations, 15 cm","914.261704857","BS.411/153","Children's literature","English",""
"Norfolk Broads--Description & travel","general term","008813008","Monograph","Language material ; Text","Volume","GB7603636","9780950444505","","","","","Swift, Julian [person] ; Orton, Peter [person]","Broadland activity book","","","","England","Norwich ; Norwich NR2 3HY","Communication Counsel","1975","","14 pages, illustrations (some colour), 30 cm","914.261704857","X.615/1562","Children's literature","English",""
"Norfolk Broads--Description & travel--ca 1950","general term","008092841","Monograph","Language material ; Text","Volume","GB7631359","9780715811627","Day, J. Wentworth (James Wentworth)","1899-1983","person","","Day, J. Wentworth (James Wentworth), 1899-1983 [person]","Broadland adventure","","","","England","Wakefield","EP Publishing","1976","","189 pages, leaf of plates, 14 pages of plates, illustrations, 1 map, portraits, 23 cm","914.261704855","X.809/41222","","English","Includes index ; Originally published: London : Country Life, 1951"
"Norfolk Broads--For boating","general term","007399774","Monograph","Language material ; Text","Volume","GB8614025","9780711700482","","","","","","What to do on the Norfolk Broads","","","","England","Norwich","Jarrold","1983","","72 pages, illustrations, maps, 20 x 25 cm","914.26170485805","LB.31.a.609","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Freshwater angling","general term","008747401","Monograph","Language material ; Text","Volume","GB7808499","9780510210038","Collins, Peter","1924-2011","person","","Collins, Peter, 1924-2011 [person]","Fishing the Norfolk Broads","","A Benn fishing guide","","England","London","E. Benn","1977","3rd edition","102 pages, illustrations, maps, 20 cm","799.110942617","X.319/17855","","English","Includes index ; Previous edition: 1970"
"Norfolk Broads--Guidebooks","general term","009690762","Monograph","Language material ; Text","Volume","GB7105966","9780706354119","","","","","Hammond, Reginald J. W. [person]","The Broads and the Norfolk coast : including Great Yarmouth, Norwich, Cromer, Sheringham and the coast","","Red guide","","England","London","Ward Lock","1971","6th edition, edited by Reginald J.W. Hammond","160 pages, 13 plates (1 folded), illustrations, maps (chiefly colour), 19 cm","914.261","X.808/6898","Guidebook","English","Previous edition: 1968"
"Norfolk Broads--Guidebooks","general term","010326054","Monograph","Language material ; Text","Volume","GB7215668","9780715355114","Edwards, Lewis Arthur","","person","","Edwards, Lewis Arthur [person]","Holiday cruising on the Broads and Fens","","","","England","Newton Abbot","David & Charles","1972","","141 pages, 2 leaves (1 folded), illustrations (including 1 colour), 1 facsimile, maps (some colour), 23 cm","914.261","","Guidebook","English","Bibliographyp.134-135. _ Includes index"
"Norfolk Broads--Guidebooks","general term","010966545","Monograph","Language material ; Text","Volume","GB7100849","9780853060772","","","","","","The Norfolk Broads","","A Jarrold Wensum series colour book","","England","Norwich","Jarrold","1969","","24 pages (chiefly colour illustrations), 14 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","010966552","Monograph","Language material ; Text","Sheet","GB7100848","9780853061755","Court, A. N. (Alexander Norman)","1912-","person","","Court, A. N. (Alexander Norman), 1912- [person]","The Norfolk Broads","","A Jarrold Sandringham book","","England","Norwich","Jarrold","1970","","26 pages (1 folded) (chiefly colour illustrations, colour map), 25 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","010966561","Monograph","Language material ; Text","Volume","GB7112806","9780853062080","","","","","","What to do on the Norfolk Broads : the complete guide. 1971","","","","England","Norwich","Jarrold","1971","","96 pages, illustrations, maps (chiefly hand coloured), 20 x 26 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","010966603","Monograph","Language material ; Text","Volume","GB7209910","9780853063612","","","","","","What to do on the Norfolk Broads : the complete guide. 1972","","","","England","Norwich","Jarrold","1972","","1, 96 pages, illustrations (1 hand coloured), maps (chiefly hand coloured), 20 x 26 cm","914.261","","Guidebook","English","Includes index"
"Norfolk Broads--Guidebooks","general term","010966614","Monograph","Language material ; Text","Volume","GB7311963","9780853063865","","","","","","What to do on the Norfolk Broads : the complete guide. 1973","","","","England","Norwich","Jarrold","1973","","2, 96 pages, illustrations (1 hand coloured), maps (chiefly hand coloured), 20 x 26 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","011600676","Monograph","Language material ; Text","Volume","GB7102696","9780900524318","","","","","Dalton, Dennis [person]","The Broads book. 1971","","Waterways series","","England","Croydon","Link House","1971","","128 pages, illustrations, maps, 19 x 25 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","011600682","Monograph","Language material ; Text","Volume","GB7202909","9780900524417","","","","","Dalton, Dennis [person]","The Broads book. 1972","","Waterways series","","England","Croydon","Link House Publications","1972","","128 pages, illustrations, maps, 19 x 25 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Guidebooks","general term","011600694","Monograph","Language material ; Text","Volume","GB7303877","9780900524578","","","","","Salter, Heather [person]","The Broads book. 1973","","Waterways series","","England","Croydon","Link House Publications","1973","","1, 128 pages, illustrations, maps, 19 x 25 cm","914.261","","Guidebook","English",""
"Norfolk Broads--Recreation facilities","general term","011180796","Monograph","Language material ; Text","Volume","GB8336390","","Broads Authority, Recreation Working Group","","organisation","","Broads Authority, Recreation Working Group [organisation]","Towards a recreation strategy for Broadland : report of the Recreation Working Group","","BA SMP","7 [BA SMP]","England","Norwich ; Thorpe Lodge, Yarmouth Road, Norwich NR7 0DU","Broads Authority","1981","","66 pages, illustrations, 30 cm","333.780942617","X.622/16513","","English",""
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010363598","Monograph","Language material ; Text","Volume","GB7805617","","","","","","Halpin, Joanna [person]","What to do on the Norfolk Broads : the complete guide to the Broads. 1978","","","","England","Norwich","Jarrold","1978","","96 pages, illustrations, maps (chiefly hand coloured), 20 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010364345","Monograph","Language material ; Text","Volume","GB7823066","","","","","","Salter, Heather [person]","The Broads book. 1978 ed","","A Link House Group annual","","England","Croydon","Link House Publications","1977","","112 pages, illustrations, maps, 19 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010364369","Monograph","Language material ; Text","Volume","GB7823833","","","","","","Salter, Heather [person]","The Broads book. 1976 ed","","A Link House Group annual ; Waterways series","","England","Croydon","Link House Publications","1975","","128 pages, illustrations, maps, 19 x 25 cm","914.26170485805","","Guidebook ; Periodical","English",""
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010966631","Monograph","Language material ; Text","Volume","GB7409432","9780853064466","","","","","","What to do on the Norfolk Broads : the complete guide to the Broads. 1974","","","","England","Norwich","Jarrold","1974","","2, 96 pages, illustrations (1 hand coloured), maps (chiefly hand coloured), 20 x 26 cm","914.26170485805","","Guidebook ; Periodical","English",""
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010966672","Monograph","Language material ; Text","Volume","GB7605284","9780853066071","","","","","","What to do on the Norfolk Broads : the complete guide to the Broads. 1976","","","","England","Norwich","Jarrold","1976","","2, 96 pages, illustrations (1 hand coloured), maps (chiefly hand coloured), 20 x 26 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010994262","Monograph","Language material ; Text","Volume","GB7911322","","","","","","Salter, Heather [person]","The Broads book. 1979 ed","","A Link House Group annual","","England","Croydon","Link House Publications","1978","","112 pages, illustrations, maps, 19 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","010997068","Monograph","Language material ; Text","Volume","GB8030458","","","","","","Salter, Heather [person]","The Broads book. 1980","","","","England","Croydon","Link House Publications","1979","","112 pages, illustrations, maps, 1 portrait, 19 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","011002254","Monograph","Language material ; Text","Volume","GB7706367","9780853066644","","","","","Halpin, Joanna [person]","What to do on the Norfolk Broads : the complete guide to the Broads. 1977","","","","England","Norwich","Jarrold","1977","","96 pages, illustrations, maps (chiefly hand coloured), 20 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","011002267","Monograph","Language material ; Text","Volume","GB8017356","9780853068426","","","","","Sharpe, Roberta [person]","What to do on the Norfolk Broads : the complete guide to the Broads. 1980","","","","England","Norwich","Jarrold","1980","","96 pages, illustrations, maps (chiefly hand coloured), 20 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","011002273","Serial","Language material ; Text","Volume","GB8110270","9780853069225","","","","","","What to do on the Norfolk Broads","","","","England","Norwich","Jarrold Colour Publications","1981-","","96 pages","914.26170485805","","Guidebook ; Periodical","English",""
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","011600704","Monograph","Language material ; Text","Volume","GB7411942","9780900524714","","","","","Salter, Heather [person]","The Broads book. 1974 ed","","A Link House Group annual ; Waterways series","","England","London","Link House Publications","1974","","128 pages, illustrations, maps, 19 x 24 cm","914.26170485805","","Guidebook ; Periodical","English",""
"Norfolk Broads--Visitors' guides--For boating--Serials","general term","011600718","Monograph","Language material ; Text","Volume","GB7628614","9780900524882","","","","","Salter, Heather [person]","The Broads book. 1975 ed","","A Link House Group annual ; Waterways series","","England","Croydon","Link House Publications","1975","","128 pages, illustrations, maps, 19 x 25 cm","914.26170485805","","Guidebook ; Periodical","English","Includes index"
"North East Mountain Trust--Periodicals","organisation","019140677","Serial","Language material ; Text","Online resource","","","","","","","North East Mountain Trust [organisation]","Mountain views","","","","Scotland","Aberdeen","NEMT","","","illustrations (colour)","333.720941158","","Periodical","English","Additional physical form: Print version -2018. Mountain views"
"North Hill (England)--Guidebooks","geographical term","010540066","Monograph","Language material ; Text","Volume","GB7822862","","Somerset (England), Exmoor National Park Committee","","organisation","","Somerset (England), Exmoor National Park Committee [organisation]","Walks on North Hill, Minehead","","","","England","Market House, The Parade, Minehead, Somerset ; Minehead ; Taunton","Exmoor National Park Information Centre ; Somerset County Council","1974","2nd revised edition","10 pages, folded plates, illustrations, 1 colour map, 21 cm","796.510942385","BS.116/121","Guidebook","English","At head of title: Exmoor National Park ; Previous edition: s.l. : s.n, 196-"
"North Hill Nature Trail (England)","general term","010540048","Monograph","Language material ; Text","Volume","GB7822612","","Somerset Trust for Nature Conservation","","organisation","","Somerset (England), Exmoor National Park Committee [organisation] ; Somerset Trust for Nature Conservation [organisation]","North Hill Nature Trail, Minehead","Nature trail, North Hill, Minehead","","","England","Holnicote Estate, Selworthy, Nr Minehead, Somerset ; Selworthy ; Taunton","Council ; Information Centre ; National Trust","1972","2nd edition","28 pages, illustrations, 1 colour map, 21 cm","500.942385","BS.116/123 ; X.319/5924","","English","At head of title: Exmoor National Park ; Previous edition: published as 'Nature trail, North Hill, Minehead' / Exmoor National Park ; written by patippu Wolseley & John Weber. Taunton : Somerset County Council, 1967"
"North Lees (Estate)","organisation","010987317","Monograph","Language material ; Text","Volume","GBA416201","9780903463737","","","","","Peak District National Park Authority [organisation] ; Derbyshire (England), County Council [organisation] ; Edgar, Jenny [person]","An accessible wilderness : life at Stanage and the North Lees Estate","","","","England","Matlock","Derbyshire County Council ; Peak District National Park Authority","2003","","132 pages, illustrations (some colour), portraits (some colour), 20 x 21 cm","942.511","YK.2004.a.8862","","English",""
"North Riding of Yorkshire (England)--Description and travel","geographical term","012637869","Monograph","Language material ; Text","Volume","GB8510795","9780709022763","Rhea, Nicholas","1936-2017","person","","Rhea, Nicholas, 1936-2017 [person]","Portrait of the North York Moors","","","","England","London","Hale","1985","","207 pages, 24 pages of plates, illustrations, 1 map, 23 cm","914.284604858","X.809/64388","","English","bibliography: p192-194. _ Includes index"
"North Riding; Medieval; Mills","general term","011718271","Monograph","Language material ; Text","Volume","","9780907480877","Harrison, J. K. (John K.)","","person","","Harrison, J. K. (John K.) [person]","Eight centuries of milling in north east Yorkshire","","","","","","North York Moors National Park Authority","2001","","","720 ; 900","m01/42986","","English",""
"North Wales","general term","007143426","Monograph","Language material ; Text","Online resource","","","Gkaraveli, Anthi G.","","person","","Gkaraveli, Anthi G. [person] ; University of Wales, Bangor [organisation]","Forest conservation, expansion, restoration and management in a national park : modelling ecology, suitability, biodiversity priorities, temporal and climate change using GIS and spatial data","","","","Wales","Bangor","University of Wales, Bangor","2002","","","577 ; 634 ; 634.9 ; 910","247336","","English",""
"North Wales--Slate quarries--1873","general term","008821674","Monograph","Language material ; Text","Volume","GB8833251","9780951237328","","","","","Lewis, M. J. T., 1938- [person]","The Slate quarries of North Wales in 1873 : a series of letters by a special correspondent of The Carnarvon and Denbigh herald","","","","Wales","","Snowdonia National Park Study Centre","1987","","100 pages","622.354094291","YK.1988.a.2715","","English",""
"North Wales--Tourism ---maps and charts--1990 (1994)","geographical term","004988503","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Ordnance Survey touring map & guide to Snowdonia and North Wales = Eryri a Gogledd Cymru","","","","England","Southampton","Ordnance Survey","1994","","1 map, colour, illustrations","","Maps X.3776","Map","English ; French ; German ; Welsh","Earlier edition: 1990"
"North Wales--Tourism ---maps--1990","geographical term","005010774","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Ordnance Survey touring map & guide to Snowdonia and North Wales = Eryri a gogledd cymru","","","","England","Southampton","Ordnance Survey","1990","Edition A","1 map, colour, 77 x 89 cm","","Maps X.865","Map","English",""
"North York Moors (England)--Antiquities","geographical term","007445843","Monograph","Language material ; Text","Volume","GBA056744","9780907480204","Hayes, Raymond H.","","person","","North York Moors National Park [organisation] ; Hayes, Raymond H. [person]","Old roads and pannierways in north east Yorkshire","","","","England","Helmsley","North York Moors National Park","1988","","81 pages, illustrations, portraits, 30 cm","388.10942846","YA.2000.b.3130","","English",""
"North York Moors (England)--Commerce","geographical term","014898221","Monograph","Language material ; Text","Volume","GBA929134","9781904622185","","","","","North York Moors National Park Authority [organisation]","Local produce guide for the North York Moors and Howardian Hills","","","","England","Helmsley","North York Moors National Park Authority","2008","3rd edition","100 pages, 1 map, 16 cm","641.0942846","YK.2009.a.8779","","English","Includes index ; Title from cover"
"North York Moors (England)--Description and travel","geographical term","012637869","Monograph","Language material ; Text","Volume","GB8510795","9780709022763","Rhea, Nicholas","1936-2017","person","","Rhea, Nicholas, 1936-2017 [person]","Portrait of the North York Moors","","","","England","London","Hale","1985","","207 pages, 24 pages of plates, illustrations, 1 map, 23 cm","914.284604858","X.809/64388","","English","bibliography: p192-194. _ Includes index"
"North York Moors (England)--Description and travel--Periodicals","geographical term","016112432","Serial","Language material ; Text","Volume","","","","","","","North York Moors National Park Authority [organisation]","Out and about in the North York Moors","","","","England","Helmsley","North York Moors National Park Authority","","","volumes, illustrations (chiefly colour), colour maps, 27 cm","790.180942846","ZK.9.b.30837","Guidebook ; Periodical","English",""
"North York Moors (England)--Guidebooks","geographical term","016112432","Serial","Language material ; Text","Volume","","","","","","","North York Moors National Park Authority [organisation]","Out and about in the North York Moors","","","","England","Helmsley","North York Moors National Park Authority","","","volumes, illustrations (chiefly colour), colour maps, 27 cm","790.180942846","ZK.9.b.30837","Guidebook ; Periodical","English",""
"North York Moors (England)--History","geographical term","010535471","Monograph","Language material ; Text","Volume","GB7719134","","Arnold, Denis V. (Denis Victor)","1915-","person","","Arnold, Denis V. (Denis Victor), 1915- [person]","The North York Moors : some glimpses of their history and a guide to further reading","","","","England","Foxton Mill, Osmotherley, Northallerton ; Northallerton ; Yorkshire","","1977","","18 pages, illustrations, 22 cm","942.846","X.709/25164","","English",""
"North York Moors (England)--Maps","geographical term","016386087","Monograph","Cartographic image ; Cartographic material","Volume","","9781843489351","Geographers' A-Z. Map Company","","organisation","creator","Geographers' A-Z. Map Company, creator [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","AZ Adventure, North York Moors East","North York Moors","","","England","Sevenoaks","Geographers' A-Z Map","2013","Edition 1","1 atla (81 pages), colour maps, 24 cm","912.42846","Maps 256.a.10","Atlas ; Map","English","'Ordnance Survey mapping in atlas format'--Cover ; 'Showing part of the North York Moors National Park'--Cover ; Includes index ; Relief shown by contours and spot heights"
"North York Moors (England)--Maps","geographical term","016386089","Monograph","Cartographic image ; Cartographic material","Volume","","9781843489344","Geographers' A-Z. Map Company","","organisation","creator","Geographers' A-Z. Map Company, creator [organisation] ; Great Britain, Ordnance Survey, cartographer [organisation]","North York Moors West, AZ","","","","England","Sevenoaks","Geographers' A-Z Map","2013","Edition 1","1 atla (85 pages), colour maps, 24 cm","912.42846","Maps 256.a.11","Atlas ; Map","English","'Ordnance Survey mapping in atlas format'--Cover ; 'Showing part of the North York Moors National Park'--Cover ; Includes index ; Relief shown by contours and spot heights"
"North York Moors (England)--Maps","geographical term","017962485","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","","9780907480532","","","","","North York Moors National Park Authority [organisation]","North York Moors National Park : Section 3 Conservation Map","North York Moors : Section 3 Conservation Map, prepared under Section 3 of the Wildlife and Countryside (Amendment) Act 1985","","","England","Helmsley","North York Moors National Park Committee","1995","","4 maps, colour, in 4 sections, each 61 x 44 cm, on sheets 64 x 45 cm or smaller, folded to 23 x 22 cm, in portfolio + 1 pamphlet, 31 cm (8 pages)","912.4284","Maps.2016.d.30","Map","English","Administrative boundaries : Uncultivated uplands: Woods; Coastal landscapes: on reduced Ordnance Survey 1:25,000 base ; North York Moors National Park, Section 3 Conservation Map, 1995 update, background information -- Pamphlet title ; Panel title"
"North York Moors (England)--Maps","geographical term","018103032","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","","9780907480495","Cleveland Way Project","","organisation","","Cleveland Way Project [organisation]","Six of the best along the coast : circular walks using the Cleveland Way","","","","England","Helmsley","Cleveland Way Project, North York Moors National Park","1994","","6 loose-leaf maps, colour, illustrations, advertisement, on sheets 21 x 24 cm, folded to 21 x 12 cm + 2 information leaflets","912.428","Maps.2016.d.248","Map","English","'Supported by Countryside Commission'--back cover ; Cover title ; Includes text and illustrations on verso ; Issued in plastic wallet ; On cover: Cleveland Way national trail ; On sheets: Cleveland Way Circular Walk ; Regional map on back cover ; Relief shown by contours and spot heights ; Reproduced from the OS outdoor leisure map series with permission of HMSO"
"North York Moors (England)--Periodicals","general term","015354621","Serial","Language material ; Text","Volume","GBA983655","","North York Moors National Park Authority","","organisation","","North York Moors National Park Authority [organisation]","Annual performance plan and report","","","","England","Helmsley","North York Moors National Park Authority","2008-2011","","volumes, 21 x 30 cm","363.680942846","ZK.9.b.18539","Periodical","English","Continues: North York Moors National Park Authority. Best value performance plan (North York Moors National Park Authority)"
