"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","001110845","Monograph","Language material ; Text","Volume","","","Miscellaneous publications not catalogued separately","","","","England","Windermere","","1972","","","","B.S.32/117","","","",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","005645916","Monograph","Language material ; Text","Volume","GB9757021","9780906421277","Interim policy statements","","","","England","Kendal","Lake District National Park Authority","1991","","20 pages, illustrations, maps, 30 cm","711.558094278","","Lake District (England)--Buildings, structures, etc ; Lake District National Park (England)--Planning ; Rural development--England--Lake District ; Housing policy--England--Lake District ; Historic buildings--Conservation and restoration","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","006053661","Monographic component part","Language material ; Text","Volume","","","Lake District National Park Report : 1983-84","","","","England","Kendal","Lake District National Park","1984","","","307.12","5143.928500","Regional planning ; Urban planning & rural planning ; Lake District planning","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007065061","Serial","Language material ; Text","Volume","GB8843154","","Leaders' handbook","Leaders' handbook (Windermere)","","","England","Brockhole, Windermere, Cumbria LA23 1LJ ; Windermere","Park","","","volumes, illustrations, maps, 21 cm","914.27804857 ; 914.27804858","","Lake District National Park (England)--Guide-books ; Cumbria--Lake District--National parks--Lake District National Park--Visitors' guides","","English","Description based on: 1988-1989 issue"
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007222390","Serial","Language material ; Text","Volume","","","The Caravan & tent guide Cumbria and the Lake District","","","","England","","Lake District National Park Authority","","","volumes","","ZK.9.a.2394","Camping--Sites ; Caravanning--Sites ; Cumbria (England)","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007246323","Serial","Language material ; Text","Volume","GB9667865","","Annual report & look ahead","Annual report & look ahead (Lake District National Park)","","","England","Kendal ; National Park Office, Murley Moss, Oxenhome Road, Kendal Cumbria LA9 7RL","Lake District National Park","1996-","","volumes, colour illustrations, 30 cm","333.783094278","BS.116/92","Northumberland (England) ; Lake District National Park (England)--Periodicals ; National parks ; Cumbria (England)","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007438754","Monograph","Language material ; Text","Volume","GB8954004","9780906421017","The Lake District National Park Plan : reviewed 1986","","","","England","Kendal","Lake District National Park Authority","1986","","1 case, illustrations, maps (some colour), 31 cm","719.32094278","Cup.936/1371","Lake District National Park (England) ; Cumbria--Lake District--National parks--Lake District National Park--Environment planning","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007438760","Monograph","Language material ; Text","Volume","GB9749316","9780906421185","Caravans & tents : where to stay in Cumbria and the Lake District, 1991","","","","England","Windermere","Lake District National Park Authority","1991","","54 pages, illustrations (some colour), 1 colour map, 21 cm","796.54094278","YK.1997.a.4848","Trailer camps--England--Cumbria--Directories ; Camping--England--Cumbria--Guidebooks ; Camp sites, facilities, etc--England--Cumbria--Directories ; Cumbria (England)--Guidebooks","","English ; French ; German",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007438761","Monograph","Language material ; Text","Volume","GB9158969","9780906421208","The Voluntary wardens' handbook","","","","England","","Lake District National Park Authority","1991","","80 pages","333.783094278","YK.1992.a.7998","National parks ; Cumbria (England)","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","007815990","Monograph","Language material ; Text","Volume","","9780906421505","Lake District National Park management plan : draft for consultation","","","","","","Lake District National Park Authority","1997","","","307.12","99/20295","Regional planning ; Urban planning & rural planning","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","008502090","Monograph","Language material ; Text","Volume","","9780906421536","Bassenthwaite Lake National Nature Reserve management plan","","","","","","Lake District National Park Authority","1999","","","307.12 ; 790 ; 796 ; 910","99/39496","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Geography ; Sports ; Tourism ; Countryside access; Conservation management","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","009782099","Monograph","Language material ; Text","Volume","","","The Lake District National Park Plan","","","","","","Lake District National Park Authority","1986","","","","Vf91/0186","","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","010652717","Serial","Language material ; Text","Volume","","","Review of the year","Lake District National Park report ; Review of the year ... (Lake District National Park)","","","England","","Park","1986-","","volumes, illustrations, 1 map, 2 portraits, 21 cm","333.783094278 ; 719.32094278","ZK.9.a.257","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","010988337","Monograph","Language material ; Text","Volume","GB9721807","9780906421413","Derwentwater management plan","","","","England","Kendal","Lake District National Park Authority","1996","","40 pages, maps, 30 cm","307.12 ; 577","q96/30149","Water resources development--England--Lake District ; Urban planning & rural planning ; Regional planning ; Derwentwater, Lake (England) ; Lake renewal--England--Lake District ; Ecology ; Lake ecology--England--Lake District","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","011077607","Monograph","Language material ; Text","Volume","","9780906421277","Interim policy statements : 1. Housing 2. Employment 3. Conserving the character of settlements 4. Conservation and the use of traditional buildings","","","","","","Lake District National Park Authority","1991","","","307.12 ; 331 ; 363.5","q97/20391","Urban planning & rural planning ; Regional planning ; Labor ; Labour studies ; Housing ; Housing provision & property","","English",""
"Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","012346454","Monograph","Language material ; Text","Volume","","","National Parks - environmentally favoured areas? : A proposal for a new agricultural policy to achieve the aims of National Park designation","","","","England","Kendal","Lake District National Park","1988","","","333.7 ; 630 ; 632 ; 635","88/24232","Plant diseases ; Conservation of National Parks ; Horticulture ; Agronomy ; Agricultural engineering ; Environmental sciences","","English",""
"Lake District National Park Authority","","organisation","","McAveeney, Pamela [person] ; Lake District National Park Authority [organisation] ; Cumbria (England), Education Department [organisation]","007438755","Monograph","Language material ; Text","Volume","GB8755820","9780906421079","Lake District National Park, a national park in the balance?","","GCSE resource guide","1 [GCSE resource guide]","England","Windermere","Cumbria Education Department ; Lake District National Park Authority","1988","","94 pages, illustrations (some colour), facsimiles, maps (some colour), 30 cm","333.783094278","YC.1988.b.8187","Lake District National Park (England) ; Cumbria--Lake District--National parks--Lake District National Park","","English","Includes index"
"Lake District National Park Authority","","organisation","","National Trust (Great Britain) [organisation] ; English Nature (Agency) [organisation] ; Davies, Peter [person] ; Huggon, Gill [person] ; Loxham, Jim [person] ; Lake District National Park Authority [organisation]","009806636","Monograph","Language material ; Text","Volume","","9780906421420","Repairing upland path erosion","","Best practice guide","","","","Lake District National Park","1996","","","577 ; 624","q96/26195","Ecology ; Civil engineering","","English",""
"Lake District National Park Authority","","organisation","","Tarn, Alan [person] ; Wilson, Lesley, editor [person] ; Lake District National Park Authority [organisation]","007120796","Monograph","Language material ; Text","Volume","","9780906421352","Facts & figures : Lake District National Park","Lake District National Park: facts and figures","","","","","Lake District National Park","1994","","","307.12 ; 790 ; 796 ; 910","q95/11894","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"Lake District National Park Authority, Education Service","","organisation","","Lake District National Park Authority, Education Service [organisation]","007438759","Monograph","Language material ; Text","Volume","GB9340992","9780906421130","Visit planner","","","","England","Keswick","Lake District National Park Authority","1992","","120 pages","914.27804","YK.1993.a.14528","National parks ; Cumbria (England)","","English",""
"Lake District National Park Authority, Visitor Services","","organisation","","Peters, Iain [person] ; Shelbourn, Colin [person] ; Lake District National Park Authority, Visitor Services [organisation]","007438766","Monograph","Language material ; Text","Volume","GB9366996","9780906421260","Rocky Rambler's wild walks","","","","England","Windermere","Lake District National Park Authority, Visitor Services","1992","","80 pages, 4 folded plates","914.27804859","YK.1994.b.2939","Travel ; Cumbria (England)","","English",""
"Lake District National Park Authority, Visitor Services","","organisation","","Shelbourn, Colin [person] ; Lake District National Park Authority, Visitor Services [organisation]","005658932","Monograph","Language material ; Text","Volume","GBA1U5656","9781852843472","Rocky Rambler's wild walks","","","","England","Milnthorpe","Cicerone","2002","","1 volume, colour illustrations, 21 cm","796.51094278","","Lake District--Guidebooks--Juvenile literature","Children's literature ; Guidebook","English",""
"Lake District National Park Authority, Youth and Schools Service","","organisation","","Lake District National Park Authority, Youth and Schools Service [organisation]","011278825","Serial","Language material ; Text","Volume","","","Lake District National Park leaders' handbook","","","","England","Windermere","Lake District National Park Youth & Schools Service","","","","","ZK.9.a.3346","National parks ; Cumbria (England)","","English",""
"Lake District Planning Board","","organisation","","Great Britain, Countryside Commission [organisation] ; Lake District Planning Board [organisation]","012671852","Monograph","Language material ; Text","Volume","GB7703145","9780902590489","The Lake District Upland Management Experiment : a report sponsored by the Countryside Commission in conjunction with the Lake District Planning Board, 1969-76","","CCP","93 [CCP]","England","Cheltenham ; John Dower House, Crescent Place, Cheltenham, Gloucestershire GL50 3RA","Countryside Commission","1976","","1, vi, 41 pages, illustrations (chiefly colour), colour maps, 1 portrait, 30 cm","719.32094278","BS.116/51 (93)","Lake District Upland Management Experiment ; Cumbria--Lake District--National parks--Lake District National Park--Agricultural land--Landscape conservation--Projects--Lake District Upland Management Experiment","","English",""
"Lake District Planning Board","","organisation","","Lake District Planning Board [organisation]","001110846","Serial","Language material ; Text","Volume","","","Lake District Planning Board-Lake District National Park. Sixth [etc.] annual report ... for the period 1st April, 1957 to 31st March, 1958 [etc.]","","","","England","Kendal","","1958","","22 cm","","B.S.116/92","","","English","The twenty-third [etc.] Report is also numbered as the first [etc.] Report of the Lake District Special Planning Board. Wanting the 9th and 18th Reports"
"Lake District Planning Board","","organisation","","Lake District Planning Board [organisation]","010284005","Monograph","Language material ; Text","Volume","GB5710891","","Lake District National Park development plan. Written statement","","","","United Kingdom","","Lake District Planning Board","1957","","4 pages, 34 cm","719.32094278","","","","English","Accompanied by 2 colourmaps"
"Lake District Planning Board","","organisation","","Lake District Planning Board [organisation]","014245639","Monograph","Language material ; Text","Volume","","","Lake District National Park plan : ideas for discussion","","","","","","Lake District Planning Board","1976","","","","D77/32480","","","English","12 separate leaflets in a folder"
"Lake District Special Planning Board","","organisation","","Lake District National Park Authority [organisation] ; Lake District Special Planning Board [organisation]","007438767","Monograph","Language material ; Text","Volume","GB9493465","9780906421345","Lake District National Park local plan, incorporating policies in respect of minerals and waste","","","","England","Kendal","Lake District National Park","1994","","152 pages, illustrations, maps, 30 cm","711.094278","YC.1995.b.579","Environment planning ; Lake District National Park (England)--Maps ; Environmental policy--Lake District National Park (England) ; Cumbria (England)","","English","With accompanying folder containing maps"
"Lake District Special Planning Board","","organisation","","Lake District National Park Authority [organisation] ; Lake District Special Planning Board [organisation]","008481794","Monograph","Language material ; Text","Volume","","9780906421345","Lake District National Park local plan : incorporating policies in respect of minerals and waste; deposit copy","","","","","","Lake District National Park","1994","","","307.12","OP-LG/8374","Regional planning ; Urban planning & rural planning","","English",""
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","005609687","Monograph","Language material ; Text","Volume","GB7710870","","Lake District National Park : report","","","","England","County Offices, Kendal, Cumbria ; Kendal","Board","1977","","1, 37 pages, 4 pages of plates, illustrations, 21 cm","333.783094278 ; 719.32094278","","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English",""
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","005609797","Monograph","Language material ; Text","Volume","GB7718288","","Lake District National Park annual report","","","","England","County Offices, Kendal, Cumbria ; Kendal","Board","1977","","1, 39 pages, 4 pages of plates, illustrations, 21 cm","333.783094278 ; 719.32094278","","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English","'... the Third Report of the Lake District Special Planning Board' - p.1 ; Previously published as: 'Lake District National Park : report'"
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","005610974","Monograph","Language material ; Text","Volume","GB7834705","","Lake District National Park : report","","","","England","County Offices, Kendal, Cumbria ; Kendal","Board","1978","","1, 48 pages, 4 pages of plates, illustrations, 21 cm","333.783094278 ; 719.32094278","","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English",""
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","005612444","Monograph","Language material ; Text","Volume","GB8016357","","Lake District National Park report","","","","England","County Offices, Kendal, Cumbria ; Kendal","Board","1979","","50 pages, 4 pages of plates, illustrations, 21 cm","333.783094278 ; 719.32094278","","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English","Previously published : as 'Lake District National Park annual report'"
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","010551227","Serial","Language material ; Text","Volume","GB8105447","","Lake District National Park report","","","","England","County Offices, Kendal, Cumbria ; Kendal","Board","1980-","","44 pages","333.783094278 ; 719.32094278","X.809/46429","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","","English",""
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","011819899","Serial","Language material ; Text","Volume","GB8857370","","Review of the year : the annual report of the Lake District Special Planning Board","Review of the year (Lake District Special Planning Board)","","","England","Kendall","Board","1988-","","volumes, illustrations, 21 cm","333.783094278","7798.480000N ; BS.40/145","Lake District National Park (England)--Periodicals ; Cumbria--Lake District--National parks--Lake District National Park--Serials","Periodical","English","Continues: Lake District National Park report"
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","014245640","Monograph","Language material ; Text","Volume","","9780906421000","Lake District National Park : National Park Plan","","","","England","Kendal","Lake District Special Planning Board","1978","","","","f80/1965","","","English",""
"Lake District Special Planning Board","","organisation","","Lake District Special Planning Board [organisation]","015163742","Monograph","Language material ; Text","Volume","","","Lake district national park plan : Ideas for discussion","","","","United Kingdom","","Lake District Special Planning Board","1976","","64 pages","","D77/32480","","","English",""
"Lamb, Janet","","person","","Lamb, Janet [person]","002058681","Monograph","Language material ; Text","Volume","","","Visitors' Guide to the Snowdonia National Park ... Edited by J. Lamb, etc [With illustrations.]","","","","England","London","C. & D. Constaple","1960","","64 pages (8°)","","10060.m.43","","","English",""
"Lamb, Janet","","person","","Lamb, Janet [person]","011563257","Monograph","Language material ; Text","Volume","GB6016862","","Visitors guide to the Snowdonia National Park","","","","United Kingdom","","National Park Advisory Committee by Constaple","1960","","58 pages, illustrations, 22 cm","914.2925","","","","English",""
"Land Use Consultants (Great Britain)","","organisation","","Dartmoor National Park Authority [organisation] ; Land Use Consultants (Great Britain) [organisation]","013776976","Monograph","Language material ; Text","Volume","GBA826632","9780905981413","Dartmoor National Park : management plan 2007-2012 : draft","","","","England","Newton Abbot","Dartmoor National Park Authority","2007","","92 pages, colour illustrations, colour map, 21 x 30 cm","333.783150942353","LC.31.a.4785","Dartmoor National Park (England)--Management","","English",""
"Land Use Consultants (Great Britain)","","organisation","","New Forest National Park Authority [organisation] ; Land Use Consultants (Great Britain) [organisation]","014534793","Monograph","Language material ; Text","Volume","GBA895177","","Hampshire Minerals and Waste Development Framework Joint Core Strategy : application to the Wiltshire part of the New Forest National Park : prepared for New Forest National Park Authority","","","","England","","New Forest National Park Authority","2006","","61 pages, colour maps, 30 cm","363.728094227","YC.2008.b.981","Mineral industries--England--Hampshire--Planning ; Mineral industries--England--Wiltshire--Planning ; Refuse and refuse disposal--England--Hampshire--Planning ; Refuse and refuse disposal--England--Wiltshire--Planning","","English","Integrated sustainability appraisal : sustainability appraisal and environmental report ; Title from front page"
"Land Use Consultants (Great Britain)","","organisation","","Scottish Natural Heritage (Agency) [organisation] ; Land Use Consultants (Great Britain) [organisation]","014628085","Monograph","Language material ; Text","Volume","GBA871852","","Monitoring of development patterns in and around national park areas : July 2007 update, [final report and appendices]","","Commissioned report","number 242 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2008","","14, 112 pages, illustrations (chiefly colour), colour maps, 30 cm","333.7209411","OPA.2011.x.1264","Cairngorms National Park (Scotland)--Management ; Cairngorms National Park (Scotland)--Planning ; Loch Lomond and the Trossachs National Park (Scotland)--Management ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","' (ROAME number R06AA504) .'"
"Landscape Research Group (Great Britain)","","organisation","","Harrod, T. R. [person] ; Dartmoor Preservation Association [organisation] ; Soil Survey & Land Research Centre (Great Britain) [organisation] ; Dartmoor National Park Authority [organisation] ; Landscape Research Group (Great Britain) [organisation]","018851658","Monograph","Cartographic image ; Cartographic material ; Text","Sheet ; Volume","","9781999845308 ; 9781999845315","Soils in Devon IX : sheet SX68/78 (Moretonhampstead and Chagford)","Soil survey of North-East Dartmoor ; Soil: sheet SX68 & 78","Soil survey record","number 117 [Soil survey record]","England","Crediton","Soil Survey of England & Wales","2017","","xvi, 384 pages, colour and black and white illustrations, colour maps, 21 cm + 2 maps on 1 sheet (colour, on sheet 126 x 89 cm, folded to 22 x 13 cm in slip case 24 x 16 cm)","912.4235","Maps.2018.a.41","Devon--Soils ; Soils--England--Devon","Map","English","Includes description of map units and classification of soil series tables ; Includes location map and cross-section map ; Map production by Latitude Cartography Ltd ; Ordnance Survey © Crown Copyright 2015 ; Relief shown by contours, shading and spot heights ; Text and colour photographs on inside covers ; book and map in slip case"
"Langman, Mike","","person","illustrator","Field Studies Council (Great Britain), publisher [organisation] ; Roberts, Carol, artist ; illustrator [person] ; South Downs National Park Authority, author [organisation] ; Langman, Mike, illustrator [person] ; Lewington, Richard, illustrator [person] ; Shields, Chris, illustrator [person]","016318337","Monograph","Language material ; Still image ; Text","Sheet","GBB420795","9781908819031","Features of the Serpent trail","","","","England","Telford","FSC Publications","2012","","1 folded sheet (12 unnumbered pages), chiefly colour illustrations, colour maps, 25 cm","508.422","YK.2014.b.3098","South Downs National Park (England) ; Natural history--England--South Downs National Park ; Serpent Trail (England)","","English","Title from first unnumbered page"
"Lauder, D. M.","","person","","Snowdonia National Park [organisation] ; Lauder, D. M. [person]","009368354","Monograph","Language material ; Text","Volume","","","Teaching resource guide, Ardudwy","","","","Wales","Blaenau Ffestiniog","Snowdonia National Park","1979","","21 pages, illustrations, 1 map, 22 cm","","BS:116/166 [1979]","","","English",""
"Lawrence, D. J. D.","","person","","British Geological Survey [organisation] ; Lawrence, D. J. D. [person] ; Natural Environment Research Council (Great Britain) [organisation]","014097288","Monograph","Language material ; Text","Volume","GBA810371","9780852725993","Northumberland National Park geodiversity audit and action plan","","","","England","London","British Geological Survey, Natural Environment Research Council","2007","","128 pages, illustrations (some colour), colour maps, 30 cm","554.288","YK.2008.b.613","Northumberland National Park (England) ; Landforms--England--Northumberland National Park ; Geology--England--Northumberland National Park","","English","' CR/07/037N.'"
"Le Messurier, Brian","","person","","Le Messurier, Brian [person] ; Weir, John (John W. H.) [person]","012628825","Monograph","Language material ; Text","Volume","GB8814974","9780706366341","Dartmoor & Exmoor","","Great walks","","England","London","Ward Lock","1988","","176 pages, illustrations, 26 cm","796.510942353 ; 796.510942385","YC.1989.b.1041","Dartmoor National Park (England)--Guidebooks ; Hiking--England--Dartmoor National Park--Guidebooks ; England--Exmoor--Recreations--Walking ; Exmoor (England)--Guidebooks ; Hiking--England--Exmoor National Park--Guidebooks ; Exmoor National Park (England)--Guidebooks ; Dartmoor (England)--Guidebooks ; Devon--Dartmoor--Recreations--Walking","","English","Includes index"
"Le Surf, Jeanne","1929-","person","","Le Surf, Jeanne, 1929- [person]","011983256","Monograph","Language material ; Text","Volume","GB8700892","9780702807725","Explore the Broads : 35 walks","","A Bartholomew map & guide","","Scotland","Edinburgh","Bartholomew","1987","","64, colour maps, 22 cm","914.261704858","YC.1988.a.9114","Broads, The (England)--Description and travel--Guidebooks ; Norfolk Broads ; Boats and boating--England--Broads, The--Periodicals","Guidebook ; Periodical","English",""
"Leach, Michael","","person","","Leach, Michael [person]","011980918","Monograph","Language material ; Text","Volume","GB9103142","9780701136864","The secret life of Snowdonia","","","","England","","Chatto & Windus","1991","","128 pages","574.942925","LB.31.a.3326","Natural history ; Snowdonia National Park (Wales) ; Gwynedd (Wales) ; Natural history--Wales--Snowdonia National Park","","English",""
"Ledger, Walter Edwin","","person","author","Ledger, Walter Edwin, author [person]","017393376","Monograph","Language material ; Text","Volume","GBB6K8863","9781785105685","The Blue Bird among the Norfolk reeds, with some reflections on the water (1911)","Blue Bird","","","England","Southam","FeedARead Publishing","2015","","35 pages, 21 cm","797.1240942617","YKL.2017.a.391","Broads, The (England)--Description and travel ; Ledger, Walter Edwin--Travel--England--Broads, The ; Sailing--England--Broads, The","","English",""
"Lee, Dukjae","","person","","Lee, Dukjae [person] ; University of Aberdeen [organisation]","013497228","Monograph","Language material ; Text","Online resource","","","Comparison of differences in landscape preferences : case of the Cairngorms National Park of Scotland and the Jirisan National Park of Korea","","","","Scotland","Aberdeen","University of Aberdeen","2005","","1 volume, 31 cm","914.124","424982","","","English",""
"Lee, J. A. (John Anthony)","","person","author","Lee, J. A. (John Anthony), author [person]","017468565","Monograph","Language material ; Still image ; Text","Volume","GBB5A2167","9780007503698 ; 9780007503704","Yorkshire Dales","","","","England","London","William Collins","2015","","xv, 366 pages, colour illustrations, colour maps, 23 cm","508.4284","YKL.2017.a.1455","Yorkshire Dales (England) ; Yorkshire Dales National Park (England) ; Natural history--England--Yorkshire Dales ; Geology--England--Yorkshire Dales","","English","Additional physical form: ebook version. 9780007503711"
"Lee, J. A. (John Anthony)","","person","author","Lee, J. A. (John Anthony), author [person]","017472621","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB5A6219","9780007503711","Yorkshire Dales","","Collins new naturalist library","130 [Collins new naturalist library]","England","London","William Collins","2015","","1 online resource, colour illustrations","508.4284","","Natural history--England--Yorkshire Dales National Park","","English","Additional physical form: Print version. 9780007503698"
"Lees, J. R. (John Rodney)","","person","","Great Britain, Peak Park Planning Board [organisation] ; Lees, J. R. (John Rodney) [person] ; Peak National Park Information and Warden Services [organisation] ; Great Britain, Peak Park Joint Planning Board [organisation]","013478562","Monograph","Language material ; Text","Volume","","9780901428097","Walks around Bakewell","","Peak District walking guide","number 5 [Peak District walking guide]","England","Bakewell","Peak Park Planning Board","1975","Revised edition","11 pages, illustrations, maps, 25 x 109 cm folded to 25 x 10 cm","796.510942513","YD.2006.a.5404","Peak District National Park (England)--Guidebooks ; Hiking--England--Bakewell--Guidebooks ; Bakewell (England)--Description and travel","Guidebook","English",""
"Leighton, David K.","","person","","Leighton, David K. [person] ; Royal Commission on Ancient and Historical Monuments in Wales [organisation]","016080924","Monograph","Language material ; Text","Volume","GBB244215","9781871184433","The Western Brecon Beacons : the archaeology of Mynydd Du and Fforest Fawr","","Discovering upland heritage","","Wales","Aberystwyth","Royal Commission on Ancient & Historical Monuments in Wales","2012","2nd edition, with amendments","179 pages, illustrations (chiefly colour), maps (some colour), 23 cm","942.9","YK.2013.a.1021","Excavations (Archaeology)--Wales--Brecon Beacons National Park ; Brecon Beacons National Park (Wales)--Antiquities ; Archaeological surveying--Wales--Brecon Beacons National Park","","English","Originally published : 1997"
"Leighton, David K.","","person","","Leighton, David K. [person]","008151540","Monograph","Language material ; Text","Volume","GB9922395","9781871184129","Mynydd Du and Fforest Fawr : the evolution of an upland landscape in South Wales : from the end of the last glaciation to the present day","","","","Wales","Aberystwyth","Royal Commission on the Ancient & Historical Monuments of Wales","1997","","136 pages, illustrations, maps, 25 cm","942.956","YC.1999.b.7731","Landscape changes--Wales--Brecon Beacons ; Archaeological surveying--Wales--Brecon Beacons ; Brecon Beacons National Park (Wales)--Antiquities ; Brecon Beacons National Park (Wales)--History","","English","bibliography: p120-132. - Includes index"
"Lely, Bridget","","person","","Lely, Bridget [person]","015598499","Monograph","Language material ; Text","Volume","GBB1C0241","9781841653266","Complete guide to the broads","","","","England","Andover","Pitkin","2010","","83 pages, colour illustrations, colour maps, 19 x 25 cm","914.26170486","LC.31.a.10743","Broads, The (England)--Guidebooks","Guidebook","English","Includes index ; Originally published: 2008 ; Text by Bridget Lely ; Title from the cover"
"Leslie David","","person","","Council for the Protection of Rural England [organisation] ; Friends of the Lake District [organisation] ; Leslie David [person] ; Hilley, Angela [person] ; Plastow, Sally [person]","013700713","Monograph","Language material ; Text","Volume","","","An environmental audit of the tourism industry in the Lake District National Park : final report","","","","England ; Scotland","Glasgow","Glasgow Caledonia University","2001","","xxxvi, 417 pages, 30 cm","338.4791094278","m07/.24973","Lake District National Park (England) ; Tourism--Environmental aspects--England--Lake District National Park","","English",""
"Lewin, Peter","","person","","Lewin, Peter [person] ; Birkinshaw, Bill [person]","013067325","Monograph","Language material ; Text","Sheet","GBA622337","","Travelguides : a better walk : 6 glorious walks set to the south east of the Peak District National Park","Fringes of the Peak District","","","England","Little Eaton, Derby","Travelguides","2004-","","portfolios, colour maps, 22 cm","914.25110486","YK.2006.a.5283","Walking--England--Peak District--Guidebooks ; Trails--England--Peak District--Guidebooks ; Peak District (England)--Guidebooks","Guidebook","English","Description based on pack number 1 (2004) ; Title from cover of pack"
"Lewington, Richard","","person","illustrator","Field Studies Council (Great Britain), publisher [organisation] ; Roberts, Carol, artist ; illustrator [person] ; South Downs National Park Authority, author [organisation] ; Langman, Mike, illustrator [person] ; Lewington, Richard, illustrator [person] ; Shields, Chris, illustrator [person]","016318337","Monograph","Language material ; Still image ; Text","Sheet","GBB420795","9781908819031","Features of the Serpent trail","","","","England","Telford","FSC Publications","2012","","1 folded sheet (12 unnumbered pages), chiefly colour illustrations, colour maps, 25 cm","508.422","YK.2014.b.3098","South Downs National Park (England) ; Natural history--England--South Downs National Park ; Serpent Trail (England)","","English","Title from first unnumbered page"
"Lewis, M. J. T.","1938-","person","","Lewis, M. J. T., 1938- [person] ; Snowdonia National Park Authority (Wales) [organisation]","015960824","Monograph","Language material ; Text","Volume","GBB1E1340","9781845241841","The archaeology of Gwynedd slate : flesh on the bones","","Darlith Goffa Merfyn Williams = Merfyn Williams memorial lecture","2011 [Darlith Goffa Merfyn Williams = Merfyn Williams memorial lecture]","Wales","Maentwrog","Snowdonia National Park","2011","","43 pages, illustrations (chiefly colour), map, plans, 21 cm","338.27540942925","YK.2012.a.18541","Slate--Wales--Gwynedd--History ; Slate industry--Wales--Gwynedd--History","","English ; Welsh","Traddodwyd y ddarlith = Lecture delivered: Plas Tan y Bwlch, Maentwrog, 6/10/2011"
"Lewis, M. J. T.","1938-","person","","Lewis, M. J. T., 1938- [person]","008821674","Monograph","Language material ; Text","Volume","GB8833251","9780951237328","The Slate quarries of North Wales in 1873 : a series of letters by a special correspondent of The Carnarvon and Denbigh herald","","","","Wales","","Snowdonia National Park Study Centre","1987","","100 pages","622.354094291","YK.1988.a.2715","Ellis, Albert, 1913-2007 ; North Wales--Slate quarries--1873","","English",""
"Lewis, M. J. T.","1938-","person","","Lewis, M. J. T., 1938- [person]","008821675","Monograph","Language material ; Text","Volume","GB9145166","9780951237335","Sails on the Dwyryd : the river transport of Ffestiniog slate","","","","England","Plas Tan y Bwlch","Snowdonia National Park Study Centre","1989","","116 pages, illustrations, maps, 21 cm","386.354094292","YK.1991.a.7342","Inland waterway transport--History ; Gwynedd (Wales)","","English",""
