"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"796","006452166","Monographic component part","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast Path : National Trail User Survey 1996-1997","","","","","","Pembrokeshire Coast National Park Committee","1998","","","6419.080000","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","006452167","Monographic component part","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast Path : National Trail User Survey 1996-97; summary of results","","","","","","Pembrokeshire Coast National Park Committee","1998","","","6419.080000","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","006605984","Monographic component part","Language material ; Text","Volume","","","Peak District National Park Authority","","organisation","","Peak District National Park Authority [organisation]","State of the park report 2000","","","","","","Peak District National Park Authority","2000","","","8438.269500","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Access; Protection ; Tourism","","English",""
"796","007110801","Monograph","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire visitor survey 1980","","","","","","Pembrokeshire Coast National Park Committee","","","","OP/LG-1452","Tourism ; Sport & Recreation ; Sports","","",""
"796","007120796","Monograph","Language material ; Text","Volume","","9780906421352","Tarn, Alan","","person","","Tarn, Alan [person] ; Wilson, Lesley, editor [person] ; Lake District National Park Authority [organisation]","Facts & figures : Lake District National Park","Lake District National Park: facts and figures","","","","","Lake District National Park","1994","","","q95/11894","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","007143711","Monograph","Language material ; Text","Online resource","","","Saxena, Gunjan","","person","","Staffordshire University [organisation] ; Saxena, Gunjan [person]","An examination of relationships and networks in sustainable tourism : issues related to tourism provision in the Peak District National Park","","","","England","Stafford","Staffordshire University","2002","","","247453","Tourism ; Sport & Recreation ; Sports","","English",""
"796","007783156","Monograph","Language material ; Text","Online resource","","","Coleman, R. A","","person","","Coleman, R. A [person]","Effects of recreation and environment upon the erosion of mountain footpaths in the Lake District National Park","","","","","","University of Sheffield","1980","","","253638","Sport & Recreation ; Geography ; Sports ; Tourism ; Ecology","","English",""
"796","007837948","Monograph","Language material ; Text","Online resource","","","Hayes, Elizabeth Anne","","person","","Hayes, Elizabeth Anne [person] ; University of Lancaster [organisation]","Mountains, sheep and fences : a study of the network of reconciliation within the UK Lake District National Park","","","","England","Lancaster","University of Lancaster","2001","","","274274","Overgrazing ; Footpath erosion ; Outdoor recreation ; Sport & Recreation ; Nature conservation ; Sports ; Upland conservation ; Tourism ; Environmental law ; Ecology ; Nuclear waste reprocessing","","English",""
"796","008471685","Monograph","Language material ; Text","Online resource","","","Prince, D. R","","person","","Prince, D. R [person]","Countryside interpretation in the North York Moors National Park : a soci-psychological study","","","","","","University of Hull","1980","","","280210","Sport & Recreation ; Sports ; Tourism ; Psychology","","English",""
"796","008500461","Monograph","Language material ; Text","Volume","","","Somerset (England), County Council","","organisation","","Exmoor National Park Authority [organisation] ; Somerset (England), County Council [organisation]","Somerset and Exmoor National Park joint structure plan review : proposed modifications November 1999","","","","","","Somerset, County Council","1999","","","99/37321","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","008500462","Monograph","Language material ; Text","Volume","","9780907480822","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","North York Moors local plan, including mineral and waste policies : deposit draft","","","","","","North York Moors National Park","1999","","","f99/3979","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Environmental protection ; Environmental pollution, protection and control, general ; Sports ; Tourism ; Pollution","","English",""
"796","008502090","Monograph","Language material ; Text","Volume","","9780906421536","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","Bassenthwaite Lake National Nature Reserve management plan","","","","","","Lake District National Park Authority","1999","","","99/39496","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Geography ; Sports ; Tourism ; Countryside access; Conservation management","","English",""
"796","009155164","Monograph","Language material ; Text","Volume","","9780948161063","Huws, Iwan","","person","","Snowdonia National Park Authority [organisation] ; Huws, Iwan [person]","Public rights of way in the Snowdonia National Park : report of LINKS survey 1992-1996","","","","","","Snowdonia National Park Authority","1996","","","GPC/09228","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Countryside access; Footpaths; Bridleways ; Sports ; Tourism","","English",""
"796","010445315","Monograph","Language material ; Text","Volume","","9781853972904","Scottish Natural Heritage (Agency)","","organisation","","Scottish Natural Heritage (Agency) [organisation]","A proposal for a Cairngorms National Park : a consultation of the area, powers and representation for the proposed National Park; 'a new way of caring for a special place'","","","","","","Scottish Natural Heritage","2000","","","Vm00/50930","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Public administration ; Sports ; Tourism ; Political science ; Scotland; Scottish; Wildlife; Conservation","","English",""
"796","010456175","Monograph","Language material ; Text","Volume","","","Great Britain, Countryside Agency","","organisation","","Peak District National Park Authority [organisation] ; Great Britain, Countryside Agency [organisation]","Pennine Way management project : review 1991-2001","","","","","","Great Britain, Countryside Agency","2001","","","m01/20075","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Path restoration; Repair; Erosion; Maintenance ; Tourism","","English",""
"796","011085332","Monograph","Language material ; Text","Volume","","9780861833573","Carroll, Tim","","person","","Carroll, Tim [person] ; Somerset (England), County Council [organisation] ; Temperley, Humphrey [person]","Somerset and Exmoor National Park joint structure plan review : adopted April 2000","","","","","","Somerset, County Council","2000","","","m01/27765","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","011678727","Monograph","Language material ; Text","Volume","","","","","","","North York Moors National Park [organisation]","Moorland research 1977-79 : The North York Moors National Park","","","","","Helmsley","North York Moors National Park","","","","84/17584","Tourism ; Sport & Recreation ; Sports","","English",""
"796","011678732","Monograph","Language material ; Text","Volume","","","","","","","North York Moors National Park [organisation]","North York Moors local plan : A district plan for the North York Moors National Park within North Yorkshire; draft proposals","","","","","Helmsley","North York Moors National Park","1979","","","84/175383","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","011683644","Monograph","Language material ; Text","Volume","","","","","","","North Yorkshire County Council, Yorkshire Dales National Park Committee [organisation]","National Park plan : First review","","","","","Leyburn","North Yorkshire County Council Yorkshire Dales National Park Committee","1984","","","OP-LG/354","Sport & Recreation ; Sports ; Recreational policies ; Tourism","","English",""
"796","011685358","Monograph","Language material ; Text","Volume","","9780861830787","","","","","Exmoor National Park Committee [organisation]","Exmoor National Park Plan review : Group activities","","","","","Dulverton","Exmoor National Park Committee","1984","","","OP-LG/658","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; National park facilities ; Sports ; Tourism","","English",""
"796","011686417","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Caravan and tent survey","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1984","","","OP-LG/1449","Tourism ; Sport & Recreation ; Sports","","English",""
"796","011693356","Monograph","Language material ; Text","Volume","","9781855222908","Atkinson, Nick","","person","","Dartmoor National Park Authority [organisation] ; Atkinson, Nick [person]","Dartmoor National Park Local Plan including minerals and waste policies : deposit version","","","","","","Dartmoor National Park Authority","1993","","","OP-LG/7550","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Ecology","","English",""
"796","012335315","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Functional strategies : 1987-1992","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","OP-LG/4486","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Pembrokeshire National Park","","English",""
"796","012335316","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Pembrokeshire Coast National Park plan : First review and policies for 1982-1987","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1985","","","OP-LG/4484","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","012335318","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Seasonal changes in Pembrokeshire's tourism","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","OP-LG/4492","Tourism ; Sport & Recreation ; Sports","","English",""
"796","012335319","Monograph","Language material ; Text","Volume","","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Tourism in Pembrokeshire : Background data","","","","Wales","Pembroke","Pembrokeshire Coast National Park Committee","1986","","","OP-LG/4491","Tourism ; Sport & Recreation ; Sports","","English",""
"796","012347204","Monograph","Language material ; Text","Volume","","9780861831401","","","","","Exmoor National Park Committee [organisation]","Exmoor National Park Plan review : Recreation and visitor services","","","","","Taunton","Exmoor National Park Committee","1988","","","OP/LG-5477","Sport & Recreation ; Exmoor recreation services ; Sports ; Tourism","","English",""
"796","012359328","Monograph","Language material ; Text","Volume","","9781855223837","Chorlton, Edward","","person","","Dartmoor National Park Authority [organisation] ; Chorlton, Edward [person] ; Atkinson, Nick [person] ; Devon (England), County Council [organisation]","Dartmoor National Park : traffic management strategy","","","","","","Devon, County Council","1994","","","OP-LG/7981","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796","012364972","Monograph","Language material ; Text","Volume","","","Oxford Centre for Tourism and Leisure Studies","","organisation","","Oxford Centre for Tourism and Leisure Studies [organisation]","North York Moors National Park : Impact of Car Usage Study 1995/95","","","","","","Oxford Centre for Tourism & Leisure Studies","1996","","","98/11730","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism","","English",""
"796.069094124","015107339","Monograph","Language material ; Text","Volume","GBB0A6178","9781906071035","","","","","Cairngorms National Park Authority [organisation]","Guidance for organised outdoor access events : Cairngorms National Park","","","","England","Morayshire","Cairngorms National Park Authority","2009","","26 pages, colour illustrations, colour map, 30 cm","YK.2010.b.9348","Outdoor recreation--Planning--Scotland--Cairngorms National Park ; Outdoor recreation--Management--Scotland--Cairngorms National Park ; Recreation areas--Access--Scotland--Cairngorms National Park","","English","Title from cover"
"796.4280942956","019010105","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB8E8062","9781911342274","Dyu, Lily","","person","author","Dyu, Lily, author [person] ; Price, John, author [person]","Brecon Beacons trail running : 20 off-road routes for trail & fell runners","","","","England","Sheffield","Vertebrate Graphics","2018","","1 volume, colour illustrations, colour maps, 18 cm","","Brecon Beacons National Park (Wales)--Guidebooks ; Cross-country running--Wales--Brecon Beacons National Park--Guidebooks ; Mountain running--Wales--Brecon Beacons National Park--Guidebooks","Guidebook","English",""
"796.5094142","020195106","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBC176623","9781839810718","McGarry, Gerald","","person","author","McGarry, Gerald, author [person]","Day walks in Loch Lomond & the Trossachs : 20 routes in the southern Scottish Highlands","","","","England","Sheffield","Vertebrate Publishing","2021","","1 volume, illustrations (black and white and colour), colour maps, 18 cm","","Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks ; Walking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks","Guidebook","English",""
"796.5094235305","015784666","Serial","Language material ; Text","Volume","GBB182526","","","","","","","Active Dartmoor","Active Dartmoor magazine","","","England","Okehampton ; Okehampton, Devon","Edgemoor Publishing ; Visit Dartmoor","2011-","","volumes, illustrations (some colour), colour maps, portraits (some colour), 30 cm","ZK.9.b.29492","Outdoor recreation--England--Dartmoor National Park--Periodicals ; Dartmoor National Park (England)--Recreational use--Periodicals","Periodical","English","'Live your life to the full outdoors.'"
"796.51","010120109","Monograph","Language material ; Text","Volume","GB8041967","9780861700059","Taylor, Graham","1945-","person","","Freeman, Peter, 1943- [person] ; Taylor, Graham, 1945- [person] ; Great Britain, Countryside Commission [organisation] ; Dartmoor National Park Authority [organisation]","Guided walks : a report of the Dartmoor Interpretation Project, 1972-77 conducted for the Countryside Commission by the Dartmoor National Park Authority","","CCP","130 [CCP]","England","Cheltenham","Countryside Commission","1980","","vii, 70 pages, illustrations, colour maps, 30 cm","BS.116/51 (130)","National parks and reserves--Interpretive programs--England--Dartmoor National Park ; Devon--Dartmoor--Guided walks--Organisation--1973-1974 ; Dartmoor National Park, Eng","","English",""
"796.51092","016246472","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB301673","9780711233805","Bradbury, Julia","","person","author","Bradbury, Julia, author [person]","Julia Bradbury's Wainwright walks. Coast to coast","Wainwright walks","","","England","London","Frances Lincoln","2013","","144 pages, illustrations (black and white and colour), black and white maps, 20 cm","YKL.2015.a.7787","Yorkshire Dales National Park (England) ; Bradbury, Julia--Travel--England ; Lake District National Park (England) ; Wainwright, Alfred ; England--Description and travel ; North York Moors National Park (England)","","English","Includes index ; TV tie-in"
"796.51094137","016844136","Monograph","Language material ; Text","Online resource","GBB511206","9781849657785","Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2014","First edition 2013","1 online resource (186 pages), colour illustrations, colour maps","ELD.DS.4900","Saint Oswald's Way (England)--Guidebooks ; Trails--England--Saint Oswald's Way--Guidebooks ; Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Walking--England--Saint Oswald's Way--Guidebooks ; Walking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Trails--Saint Cuthbert's Way (England and Scotland)--Guidebooks","Guidebook","English",""
"796.51094137","016844137","Monograph","Language material ; Text","Online resource","GBB511205","9781849657792","Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2013","First edition 2013","1 online resource (186 pages), colour illustrations, colour maps","ELD.DS.4901","Saint Oswald's Way (England)--Guidebooks ; Trails--England--Saint Oswald's Way--Guidebooks ; Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Walking--England--Saint Oswald's Way--Guidebooks ; Walking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Trails--Saint Cuthbert's Way (England and Scotland)--Guidebooks","Guidebook","English",""
"796.51094137","018105516","Monograph","Language material ; Text","Online resource","GBC183439","9781783623693","Abraham, Rudolf","","person","author","Abraham, Rudolf, author [person]","St Oswald's Way and St Cuthbert's Way : long-distance trails in Northumberland and the Borders","","","","United Kingdom","Milnthorpe","Cicerone","2016","Second revised edition","1 online resource (192 pages)","ELD.DS.99349","Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Hiking--Saint Cuthbert's Way (England and Scotland)--Guidebooks ; Saint Oswald's Way (England)--Guidebooks ; Hiking--England--Saint Oswald's Way--Guidebooks","Guidebook","English",""
"796.51094142","018005758","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB891279","9780319090190","Kelsall, Dennis","","person","author","Kelsall, Jan, author [person] ; Kelsall, Dennis, author [person]","Loch Lomond, the Trossachs, and Stirling : outstanding circular walks","","Pathfinder guides","","England","Southampton","Ordnance Survey","2016","New edition","95 pages, colour illustrations, colour maps, 23 cm","YK.2018.a.1915","Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks ; Stirling (Scotland : District)--Guidebooks ; Walking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks ; Walking--Scotland--Stirling (District)--Guidebooks","Guidebook","English",""
"796.51094142","018637222","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB7N3879","9781852849634","Turnbull, Ronald","1951-","person","author","Turnbull, Ronald, 1951-, author [person]","Walking Loch Lomand and the Trossachs : 70 walks, including 21 Munro summits","","","","England","Milnthorpe","Cicerone","2018","","1 volume, illustrations, maps","","Hiking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks ; Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks","Guidebook","English",""
"796.51094142","018869892","Monograph","Language material ; Text","Volume","GBB890339","9781908632562","Fergus, Keith","1972-","person","author","Fergus, Keith, 1972-, author [person]","Mountain walks : the finest mountain walks in Loch Lomond & The Trossachs","Loch Lomond & The Trossachs","Top 10 walks","","England","Tattenhall, Cheshire","Northern Eye","2018","","64 pages, colour illustrations, colour maps, 15 cm","YK.2019.a.5101","Hiking--Scotland--Loch Lomond and the Trossachs National Park--Guidebooks ; Loch Lomond and the Trossachs National Park (Scotland)--Guidebooks","Guidebook","English",""
"796.51094225","018686223","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBC0J0149","9780319090909","Hancock, David","1960-","person","author ; photographer","Great Britain, Ordnance Survey [organisation] ; Hancock, David, 1960-, author ; photographer [person] ; Channer, Nick, photographer [person]","South Downs National Park and East Sussex : outstanding circular walks","","Pathfinder guides","","England","Bath","Crimson Publishing","2017","","95 pages, colour illustrations, colour maps, 23 cm","YK.2019.a.4272","Trails--England--South Downs National Park--Guidebooks ; East Sussex (England)--Guidebooks ; Trails--England--East Sussex--Guidebooks ; Walking--England--South Downs National Park--Guidebooks ; South Downs National Park (England)--Guidebooks ; Walking--England--East Sussex--Guidebooks","Guidebook","English","At head of title: Ordnance Survey ; Originally published: 2010"
"796.51094226","015669668","Monograph","Language material ; Text","Volume","GBB0C2975","9781852846183","Reynolds, Kev","","person","","Reynolds, Kev [person]","Walks in the South Downs National Park","","A Cicerone guide","","England","Milnthorpe","Cicerone","2011","","219 pages, colour illustrations, colour maps, 18 cm","YK.2011.a.39299","Walking--England--South Downs--Guidebooks ; South Downs (England)--Guidebooks","Guidebook","English","'40 coast, downs and countryside walks'--Cover"
"796.51094226","016261064","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB307865","9780752466088","Manley, John","","person","author","Manley, John, author [person]","The South Downs National Park : archaeological walking guides","","","","England","Stroud","History Press","2013","","192 pages, colour illustrations, black and white maps, 24 cm","YKL.2015.a.7130","South Downs (England)--Guidebooks ; South Downs (England)--Antiquities ; Walking--England--South Downs--Guidebooks ; Archaeology--England--South Downs","Guidebook","English",""
"796.51094226","016843881","Monograph","Language material ; Text","Online resource","GBB502879","9781849653909","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in the South Downs National Park","","A Cicerone guide","","England","Milnthorpe, Cmbria","Cicerone","2011","First edition 2011","1 online resource, colour illustrations, colour maps","ELD.DS.4645","SPORTS & RECREATION / Hiking ; Active outdoor pursuits ; South Downs (England)--Guidebooks ; Walking--England--South Downs--Guidebooks ; SPORTS & RECREATION / Walking","Guidebook","English","Cover subtitle: 40 coast, downs and countryside walks"
"796.51094226","016843894","Monograph","Language material ; Text","Online resource","GBB502884","9781849653336","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in the South Downs National Park","","A Cicerone guide","","England","Milnthorpe, Cmbria","Cicerone","2011","First edition 2011","1 online resource (219 pages), colour illustrations, colour maps","ELD.DS.4658","SPORTS & RECREATION / Hiking ; Active outdoor pursuits ; South Downs (England)--Guidebooks ; Walking--England--South Downs--Guidebooks ; SPORTS & RECREATION / Walking","Guidebook","English","Cover subtitle: 40 coast, downs and countryside walks"
"796.51094226","017738514","Monograph","Language material ; Still image ; Text","Volume","GBB621582","9780993192302","Neudorfer, Seddon","","person","author","Neudorfer, Seddon, author [person]","Countryside dog walks. South Downs - West Hampshire","South Downs - West Hampshire","","","Wales","Graigfechan","Wet Nose Publishing","2015","","1 volume, colour illustrations, 21 cm","","South Downs National Park (England)--Guidebooks ; Dog walking--England--South Downs National Park--Guidebooks","Guidebook","English",""
"796.51094226","017767313","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB635642","9781852848354","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in The South Downs National Park","","","","England","Milnthorpe","Cicerone","2016","Second revised edition","1 volume, illustrations, maps, 18 cm","","South Downs National Park (England)--Guidebooks ; Walking--England--South Downs National Park--Guidebooks","Guidebook","English",""
"796.51094226","018066799","Monograph","Language material ; Text","Online resource","GBC183331","9781783623457","Reynolds, Kev","","person","author","Reynolds, Kev, author [person]","Walks in The South Downs National Park","","","","United Kingdom","Milnthorpe","Cicerone","2016","Second revised edition","1 online resource (224 pages)","ELD.DS.95267","South Downs National Park (England)--Guidebooks ; Walking--England--South Downs National Park--Guidebooks","Guidebook","English",""
"796.51094226","018336603","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB7E3391","9781910551950","","","","","Maskill, Louise, editor [person]","Walks for all ages : South Downs National Park","Walks for all ages : 20 circular walks in the South Downs National Park ; Walks for all ages in the South Downs National Park","","","England","Sheffield","Bradwell","2017","1st edition","96 pages, colour illustrations, colour maps, 22 cm","YK.2018.a.3528","South Downs National Park (England)--Guidebooks ; Trails--England--South Downs National Park ; South Downs National Park (England)--Maps","Guidebook ; Map","English",""
"796.51094226","019022830","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB9C1432","9781846743689","Gower, Tracey","","person","author","Gower, Tracey, author [person]","The South Downs : a dog walker's guide","","Countryside Books walking guide","","England","Newbury, Berkshire","Countryside","2018","","95 pages, colour illustrations, maps, 21 cm","YKL.2020.a.733","South Downs National Park (England)--Guidebooks ; Walking--England--South Downs National Park--Guidebooks ; Dog walking--England--South Downs National Park--Guidebooks","Guidebook","English",""
"796.51094226","020079460","Monograph","Language material ; Text","Volume","GBC103569","9780008439118","","","","","","South Downs park rangers favourite walks","","","","England","London","Collins","2021","","1 volume, 18 cm","","South Downs National Park (England)--Guidebooks ; Walking--England--South Downs National Park--Guidebooks","Guidebook","English",""
"796.51094227","016085605","Serial","Language material ; Text","Volume","GBB327470","","","","","","Southern Daily Echo [organisation]","30 illustrated Hampshire & the New Forest walks","Hampshire & the New Forest walks ; Hampshire walks ; Thirty illustrated Hampshire and the New Forest walks","","","England","Southampton","Newsquest","2012-","","illustrations (colour), colour maps, 21 cm","ZK.9.a.13961","Hampshire, England--Description and travel--Guidebooks ; Walking--England--New Forest National Park--Guidebooks ; Walking--England--Hampshire--Guidebooks","Guidebook","English",""
"796.510942275","015366892","Monograph","Language material ; Text","Volume","GBA989309","9781854585318","Foster, David","1950-","person","","Foster, David, 1950- [person]","The New Forest National Park","New Forest","Crimson short walks","23 [Crimson short walks]","England","Richmond","Crimson Publishing","2009","Revised edition","110 pages, colour illustrations, colour maps, 19 cm","YK.2011.a.18804","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English","Text and illustrations on inside front cover ; revised edition of: New Forest. 2003"
"796.510942275","015900067","Monograph","Language material ; Text","Volume","GBB1B3868","9781852846374","Davison, Steve","","person","photographer","Davison, Steve, photographer [person]","Walking in the New Forest : 30 walks in the New Forest National Park","","Cicerone guide","","England","Milnthorpe","Cicerone","2012","","205 pages, colour illustrations, colour maps, 18 cm","YK.2013.a.1908","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English",""
"796.510942275","016770393","Monograph","Language material ; Still image ; Text","Volume","GBC131766","9781850589846","Walmsley, Andrew","","person","author","Walmsley, Andrew, author [person]","New Forest walks : a seasonal wildlife guide","","","","Wales","Ammanford, Carmarthenshire","Sigma Leisure","2016","","231 pages, colour illustrations, colour maps, 21 cm","YKL.2019.a.19017","Walking ; Walking--England--New Forest National Park--Guidebooks ; England--New Forest (District) ; New Forest National Park (England)--Guidebooks","Guidebook","English",""
"796.510942275","016844170","Monograph","Language material ; Text","Online resource","GBB508152","9781849657075","Davison, Steve","","person","author ; photographer","Davison, Steve, author ; photographer [person]","Walking in the New Forest : 30 walks in the New Forest National Park","","","","England","Milnthorpe, Cumbria","Cicerone","2012","First edition 2012","1 online resource (205 pages), colour illustrations, colour maps","ELD.DS.4934","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English",""
"796.510942275","016844236","Monograph","Language material ; Text","Online resource","GBB508154","9781849656313","Davison, Steve","","person","author ; photographer","Davison, Steve, author ; photographer [person]","Walking in the New Forest : 30 walks in the New Forest National Park","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2014","","1 online resource, colour illustrations, colour maps","ELD.DS.5000","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English",""
"796.510942275","018072025","Monograph","Language material ; Text","Online resource","GBB6G6056","9781849656313","Davison, Steve","","person","author ; photographer","Davison, Steve, author ; photographer [person]","Walking in the New Forest : 30 walks in the New Forest National Park","","A Cicerone guide","","England","Milnthorpe, Cumbria","Cicerone","2014","","1 online resource, colour illustrations, colour maps","ELD.DS.95546","England--New Forest National Park ; Walking ; Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English","Overview map introduction Plants and wildlife Geology History of the New Forest Walking in the New Forest Using the guide Maps Getting to the New Forest Getting around the New Forest Food and drink Where to stay Countryside Codes Access and rights of way The New Forest online Longer walks and long-distance routes The WalksLangley Wood and Hamptworth Godshill and Castle Hill Hatchet Green and Woodgreen Bramshaw Telegraph and Eyeworth Pond Bramshaw Church and Nomansland Abbots Well and Alderhill Inclosure Fritham and Cadman's Pool Janesmoor Pond and the Rufus Stone High Corner Inn and Ogden's Purlieu Appleslade Bottom to Rockford via Ibsley Common Castle Piece and Linford Brook Exploring Bolderwood Minstead and Furzey Gardens Portuguese Fireplace and the Knightwood Oak Bank and Gritnam Ober Water and Blackwater Arboretum Holmsley Walk and Burley Wilverley Inclosure and Castleman's Corkscrew Lyndhurst and Bolton's Bench Ashurst figure-of-eight Beaulieu Road and Bishop's Dyke King's Hat, Dibden Bottom and the Beaulieu River Stubby Copse Inclosure and Balmer Lawn Brockenhurst and Dilton Hatchet Pond and Hawkhill Inclosure Beaulieu River from Beaulieu to Buckler's Hard Setley Common and Boldre Church Exploring the coastline from Lymington to Keyhaven Milford on Sea and Hurst Castle Lepe and Exbury Appendix A Route summary table Appendix B Useful contact information Appendix C Glossary Appendix D bibliography"
"796.510942275","018197200","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB713822","9780319090428","Foster, David","1950-","person","author","Great Britain, Ordnance Survey [organisation] ; Foster, David, 1950-, author [person]","New Forest National Park : short walks","","Pathfinder guides","23 [Pathfinder guides]","England","Bath","Crimson Publishing","2017","New edition","110 pages, colour illustrations, colour maps, 18 cm","YK.2018.a.1512","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English","At head of title: Ordnance Survey ; Previous edition: 2014 ; illustrations, map and text on inside covers"
"796.510942275","019635251","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB9J6378","9781852848774","Davison, Steve","","person","author ; photographer","Davison, Steve, author ; photographer [person]","Walking in the New Forest : 30 walks in the New Forest National Park","","","","England","Kendal","Cicerone","2020","Second edition","1 volume, illustrations, maps, 18 cm","","Walking--England--New Forest National Park--Guidebooks ; New Forest National Park (England)--Guidebooks","Guidebook","English","Additional physical form: ebook version. 9781783628209 ; Previous edition: 2012"
