"BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"014509748","Monograph","Language material ; Text","Volume","","","","","","","","Timber frames and roofs","","Historic buildings","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"014509751","Monograph","Language material ; Text","Volume","","","","","","","","Plasters and renders","","Historic buildings","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"014509754","Monograph","Language material ; Text","Volume","","","","","","","","Flooring","","Historic buildings","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"014509764","Monograph","Language material ; Text","Volume","","","","","","","","Listed building exteriors","","Listed building guidance notes","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"014509766","Monograph","Language material ; Text","Volume","","","","","","","","Listed building interiors","","Listed building guidance notes","","","","New Forest District Council ; New Forest National Park","2006","","","","","","","English",""
"014509779","Monograph","Language material ; Text","Volume","","","","","","","","A basic guide for owners and occupiers","","Listed buildings","","","","New Forest National Park Authority","2006","","","","","","","English",""
"014509790","Monograph","Language material ; Text","Volume","","","","","","","","Learning outside the classroom : in the New Forest National park","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014509800","Monograph","Language material ; Text","Sheet","GBA8C7525","","","","","","New Forest National Park Authority [organisation]","Learning about the New Forest National Park","","","","England ; United Kingdom","","New Forest National Park Authority","2007","","2 folded sheets, colour illustrations, colour maps, 30 cm","914.2275","YK.2008.b.6233 ; YK.2008.b.6234","New Forest (England : Forest)--Statistics","Statistics","English",""
"014509818","Monograph","Language material ; Text","Sheet","GBA8C7510","","","","","","New Forest National Park Authority [organisation]","Tourism and recreation","","","","England ; United Kingdom","","New Forest National Park Authority","2007","","folded sheets, colour illustrations, 30 cm","914.2275","YK.2008.b.6237 ; YK.2008.b.6238 ; YK.2008.b.6239","Tourism--England--New Forest (Forest) ; Recreation--England--New Forest (Forest)","","English",""
"014509825","Monograph","Language material ; Text","Volume","","","","","","","","Local development scheme February 2007. New Forest National Park Authority local development framework","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014509967","Monograph","Language material ; Text","Volume","GBB158116","9781859757871","","","","","Hampshire (England), County Council [organisation]","Hampshire, Portsmouth, Southampton & New Forest National Park minerals & waste core strategy : development plan document July 2007","","","","England","Winchester","Hampshire County Council","2007","","105 pages, colour maps, 30 cm","363.728094227","YC.2011.b.1241","Refuse and refuse disposal--England--Hampshire--Planning ; Mineral industries--England--Hampshire--Planning","","English","Includes fold-out map ; Title from cover"
"014512604","Monograph","Language material ; Text","Volume","GBA814788","","","","","","Eastern Cairngorms Access Project [organisation]","Eastern Cairngorms outdoor activity guide","","","","England ; Scotland","","Eastern Cairngorms Access Project","2007","","29 pages, colour illustrations, maps, 20 cm","","","Trails--Scotland--Cairngorms National Park--Guidebooks ; Cairngorms National Park (Scotland)--Guidebooks ; Outdoor recreation--Scotland--Cairngorms National Park--Guidebooks","Guidebook","English","Cover title"
"014512694","Monograph","Cartographic image ; Cartographic material","Volume","","9780319239520","","","","","","Monadhliath Mountains North & Strathdearn : showing part of the Cairngorms National Park : 1:25 000","","Explorer map","417 [Explorer map]","","","Ordnance Survey","2007","A1","","","","","","English",""
"014512698","Monograph","Cartographic image ; Cartographic material","Volume","","9780319239537","","","","","","Lochindorb, Grantown-on-Spey & Carrbridge : showing part of the Cairngorms National Park and Speyside Way : 1:25 000","","Explorer map","418 [Explorer map]","","","Ordnance Survey","2007","A1","","","","","","English",""
"014517341","Monograph","Language material ; Text","Volume","GBA903325","9780953563579","Yerburgh, David S. (David Savile)","1934-","person","","Yerburgh, David S. (David Savile), 1934- [person]","An attempt to depict the Pembrokeshire Coast National Park and the places of interest surrounding the Park : an artistic impression, based on 18th & 19th century engravings","","","","England","Salisbury","D. Yerburgh","2007","","68 pages, illustrations (some colour), colour map, 21 cm","704.943642962","YK.2009.a.1149","Pembrokeshire Coast National Park (Wales)--Description and travel ; Landscape prints, British ; Pembrokeshire (Wales)--Pictorial works ; Pembrokeshire (Wales)--Description and travel ; Pembrokeshire Coast National Park (Wales)--Pictorial works","Pictorial work","English",""
"014518208","Monograph","Language material ; Text","Volume","GBA816967","","Headley, A. D. (Alistair D.)","","person","","Scottish Natural Heritage (Agency) [organisation] ; Headley, A. D. (Alistair D.) [person]","An assessment and evaluation of herbivore impacts on alpine heaths and grasslands within the Ben More-Stob Binnein site of Special Scientific Interest","","Commissioned report","number 233 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2007","","iv, 31 pages, colour illustrations, colour maps, 30 cm","333.7416094142","YK.2008.b.6441","Loch Lomond and the Trossachs National Park (Scotland) ; Vegetation--Effect of trampling on--Scotland--Loch Lomond and the Trossachs National Park ; Deer--Behavior--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Grazing--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Herbivores--Behavior--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park ; Grassland conservation--Scotland--Loch Lomond and the Trossachs National Park ; Browsing--Environmental aspects--Scotland--Loch Lomond and the Trossachs National Park","","English","Publisher's number: ROAME number RO6AC208"
"014523979","Monograph","Language material ; Text","Computer disc","GBA819440","","","","","","Lake District National Park Authority [organisation] ; Newman, Caron [person] ; Cumbria (England), Historic Environment Service [organisation]","The Cumbria historic landscape characterisation. The Lake District National Park","","","","England","Kendal","Historic Environment Service, Cumbria County Council","2007","","1 CD, colour, 4 3/4 in","942.78","SPR. CD.861","Lake District National Park (England) ; Landscape--England--Lake District","","English","Title from prelims.pdf page"
"014526989","Monograph","Language material ; Text","Volume","","","","","","","","Some useful websites : about trees and wildlife","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014526998","Monograph","Language material ; Text","Volume","","","","","","","","British Standard 5837 (2005) : trees in relation to construction recommendations. Building near trees","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014527010","Monograph","Language material ; Text","Volume","","","","","","","","Tree pruning : advice on proper tree care","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014527014","Monograph","Language material ; Text","Volume","","","","","","","","Native species : hedgerow planting guide","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014527023","Monograph","Language material ; Text","Volume","","","","","","","","Ground-nesting birds in the New forest : key facts and how you can help","","","","","","New Forest National Park Authority","2007","","","","","","","English",""
"014534793","Monograph","Language material ; Text","Volume","GBA895177","","","","","","New Forest National Park Authority [organisation] ; Land Use Consultants (Great Britain) [organisation]","Hampshire Minerals and Waste Development Framework Joint Core Strategy : application to the Wiltshire part of the New Forest National Park : prepared for New Forest National Park Authority","","","","England","","New Forest National Park Authority","2006","","61 pages, colour maps, 30 cm","363.728094227","YC.2008.b.981","Mineral industries--England--Hampshire--Planning ; Mineral industries--England--Wiltshire--Planning ; Refuse and refuse disposal--England--Hampshire--Planning ; Refuse and refuse disposal--England--Wiltshire--Planning","","English","Integrated sustainability appraisal : sustainability appraisal and environmental report ; Title from front page"
"014535669","Monograph","Language material ; Text","Volume","GBA824485","","Dartmoor National Park Authority","","organisation","","Dartmoor National Park Authority [organisation]","Dartmoor National Park : management plan 2007-2012, summary, December 2007","","","","England","Newton Abbot","Dartmoor National Park Authority","2007","","7 pages, colour illustrations, maps, 21 x 30 cm","","","Dartmoor National Park (England)","","English",""
"014539098","Monograph","Language material ; Text","Volume","","","","","","","","Statement of community involvement : New Forest National Park : local development framework","","","","","","New Forest National Park","2007","","","","","","","English",""
"014539541","Monograph","Language material ; Text","Volume","GBB023611","9781905385386","McGowan, P. J. (Peter John)","1937-","person","","McGowan, P. J. (Peter John), 1937- [person]","The Peak District : a little souvenir. Volume 1","","","","England","Oxford","Chris Andrews","2007","","63 pages, chiefly colour illustrations, 12 x 17 cm","914.251100222","YK.2009.a.32832","Peak District National Park (England)--Pictorial works","Pictorial work","English",""
"014542776","Monograph","Language material ; Text","Volume","GBA827384","9780571236497","FitzGerald, Helen","1966-","person","","FitzGerald, Helen, 1966- [person]","Dead lovely","","","","England","London","Faber & Faber","2008","","298 pages, 22 cm","823.92","H.2008/4256","Vacations--Scotland--Loch Lomond and the Trossachs National Park--Fiction ; Jealousy--Fiction ; Childlessness--Fiction ; Murder--Fiction ; Female friendship--Fiction","Fiction","English",""
"014547018","Monograph","Language material ; Text","Volume","GBB023707","9781841146454","Smith, Roland","1944-","person","","Smith, Roland, 1944- [person] ; Brecon Beacons National Park Authority [organisation]","Enjoying the Brecon Beacons National Park","","","","England","Wellington","Halsgrove","2007","","80 pages, colour illustrations, colour maps, 21 cm","914.29","YK.2009.a.35879","Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Published in association with Brecon Beacons National Park"
"014548258","Monograph","Language material ; Text","Volume","GBB017577","9781873775271","Tidsall, Pat","","person","","Tidsall, Peter [person] ; Tidsall, Pat [person]","Short circular walks in the Peak National Park : 28 walks of 3 to 6 miles","","","","England","Ashbourne","Ashbourne","2008","","79 pages, maps, 18 cm","796.510942511","YK.2009.a.26749","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","paperback"
"014549104","Monograph","Language material ; Text","Volume","GBA8E0748","9781906095017","Collister, Rob","","person","","Collister, Rob [person] ; Snowdonia Society (Wales) [organisation]","Eryri : parc dan bwysau : hanes Parc Cenedlaethol Eryri a Chymdeithas Eryri = Snowdonia : park under pressure : the story of the Snowdonia National Park & the Snowdonia Society","Snowdonia : park under pressure : the story of the Snowdonia National Park & the Snowdonia Society","","","Wales","Caernarfon","Gwasg Pesda","2007","","92 pages, illustrations, map, 20 cm","942.925","LC.31.a.14310","National parks and reserves--Wales--Snowdonia ; Snowdonia National Park (Wales) ; Snowdonia Society (Wales)","","English ; Welsh",""
"014552623","Monograph","Language material ; Text","Volume","","9780905455549","","","","","","Yorkshire Dales local plan 2006","","","","United Kingdom","Leyburn","Yorkshire Dales National Park Authority","2007","","210 pages, 80 colour maps, 30 x 22 cm","","","","","English","Spiral bound"
"014555173","Monograph","Language material ; Text","Volume","","9780955793806","","","","","","The Cumbria historic landscape characterisation project : The Lake District national park","","","","United Kingdom","Kendal, Cumbria","Historic Environment Service, Cumbria County Council","2007","","","","","","","English","paperback"
"014559194","Monograph","Language material ; Text","Volume","GBB016357","9781860775093","Malster, Robert","","person","","Malster, Robert [person]","The Norfolk & Suffolk Broads","","","","England","Chichester","Phillimore","2007","","xi, 228 pages, 8 pages of plates, illustrations (some colour), maps (some colour), 25 cm","942.617","YK.2009.a.23956","Historic agricultural landscapes--England--Broads, The ; Broads, The (England)--History ; Cultural landscapes--England--Broads, The","","English","Originally published: 2003"
"014559469","Monograph","Language material ; Text","Volume","GBB017916","9781873775288","Tidsall, Pat","","person","","Tidsall, Peter [person] ; Tidsall, Pat [person]","Circular walks in Derbyshire and the Peak Park : 22 walks of 4 to 8 miles","","","","England","Ashbourne","Ashbourne","2008","","78 pages, maps, 18 cm","796.510942511","YK.2009.a.26160","Walking--England--Peak District National Park--Guidebooks ; Trails--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","paperback"
"014559647","Monograph","Language material ; Text","Volume","GBB018322","9781900446112","Dunn, Rod","","person","","Dunn, Rod [person]","Walk the peak","","","","England","Cromford","Scarthin","2007","","244 pages, colour illustrations, 31 cm","796.510942511","YK.2009.b.7017","Walking--England--Peak District National Park--Guidebooks ; Peak District National Park (England)--Guidebooks","Guidebook","English","hardback"
"014578426","Monograph","Cartographic image ; Cartographic material ; Text","Volume","","9780954242367","","","","","","The New Forest National Park and surrounding area cycle map : map and information for cyclists, including access to the forest, routes, places to eat and the New Forest bus tour","","","","England","Southampton","Walking Distance","2008","","1 map, colour, 41 x 58 cm","912.42275","Maps X.13990","New Forest National Park (England)--Maps ; Bicycle trails--England--New Forest National Park--Maps ; Cycling--England--New Forest National Park--Maps","Map","English","Includes text, tourist information and illustrations on verso"
"014580780","Monograph","Language material ; Text","Volume","GBA909434","9781845240882","Hutton, Tom","","person","","Hutton, Tom [person]","Circular walks in the Brecon Beacons National Park","","Walks with history","","Wales","Pwllheli","Llygad Gwalch","2007","New edition","95 pages, illustrations, maps, 19 cm","914.29560486","YK.2009.a.28025","Walking--Wales--Brecon Beacons--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","First published 1998"
"014592784","Monograph","Language material ; Text","Volume","GBA871918","9780954878276","","","","","Cairngorms National Park Authority [organisation]","The forest of the Cairngorms : Cairngorms National Park : forest and woodland framework","Forest and woodland framework : Cairngorms National Park","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2008","","53 pages, colour illustrations, colour maps, 30 cm","333.75094124","YK.2011.b.9182","Forest conservation--Scotland--Cairngorms National Park ; Cairngorms National Park (Scotland) ; Forests and forestry--Scotland--Cairngorms National Park","","English","Cover title"
"014593777","Monograph","Language material ; Text","Volume","GBB030110","9781902302560","Marshall, Des","","person","","Marshall, Des [person]","Local walks around Tywyn : in the Snowdonia National Park","","","","Wales","Glantwymyn","Kittiwake","2008","","40 pages, illustrations, maps, 21 cm","796.510942925","YK.2010.a.6826","Walking--Wales--Snowdonia National Park--Guidebooks ; Snowdonia National Park (Wales)--Guidebooks","Guidebook","English","Title from cover"
"014593778","Monograph","Language material ; Text","Volume","GBB030106","9781902302577","Ross, Alastair","1954-","person","","Ross, Alastair, 1954- [person]","Walking in the Brecon Beacons National Park","","","","Wales","Glantwymyn","Kittiwake","2008","","40 pages, illustrations, maps, 21 cm","796.510942956","YK.2010.a.6827","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English","Title from cover"
"014594693","Monograph","Language material ; Text","Volume","GBA858219","","","","","","New Forest National Park Authority, Educators' Forum [organisation]","Learning outside the classroom : in the New Forest National Park","","","","England","Lymington","New Forest National Park Educators' Forum","2007","","30 pages, colour illustrations, colour map, 21 x 30 cm","","","New Forest (England : Forest)--Guidebooks ; Outdoor education--Great Britain--New Forest (Forest)","Guidebook","English","Cover title ; Spiral bound"
"014594694","Monograph","Language material ; Text","Volume","GBA858220","","","","","","New Forest National Park Authority [organisation] ; New Forest (England : District), Council [organisation]","Listed building interiors : listed building guidance notes","","","","England","Lymington ; Lyndhurst","New Forest District Council ; New Forest National Park Authority","2006","","8 pages, illustrations, 30 cm","","","Buildings--Great Britain--New Forest (Forest)--Conservation and restoration","","English","Cover title"
"014594695","Monograph","Language material ; Text","Volume","GBA858221","","","","","","New Forest National Park Authority [organisation]","Listed buildings : a basic guide for owners and occupiers","","","","England","Lymington","New Forest National Park Authority","2006","","4 pages, colour illustrations, 30 cm","","","Buildings--England--New Forest (Forest)--Conservation and restoration","","English","Cover title"
"014594696","Monograph","Language material ; Text","Volume","GBA858222","","","","","","New Forest National Park Authority [organisation]","New Forest National Park Authority Local Development Framework : local development scheme : February 2007","Local development scheme","","","England","Lymington","New Forest National Park Authority","2007","","30 pages, illustrations (some colour), colour map, 30 cm","","","New Forest (England : Forest)--Management ; Planning--England--New Forest (Forest)","","English","'February 2007' ; Cover title"
"014602784","Monograph","Language material ; Text","Volume","GBB174103","9780905981567","","","","","Dartmoor National Park Authority [organisation] ; English Heritage [organisation]","Grimspound : a prehistoric settlement","","","","England","Newton Abbot","Dartmoor National Park Authority","2008","","24 pages, illustrations (some colour), colour maps, 21 cm","936.2353","OPA.2011.x.1389","Grimspound Site (England) ; Dartmoor (England)--Antiquities--Guidebooks","Guidebook","English","At foot of title: English Heritage ; Title from cover"
"014606390","Monograph","Language material ; Text","Volume","GBA865491","9780907780724","","","","","Carr, Simon J. [person] ; Quaternary Research Association (Great Britain) [organisation]","The quaternary of the Brecon Beacons : field guide","","Field guide","","England","London","Quaternary Research Association","2007","","xi, 277 pages, illustrations, maps, 21 cm","551.790942956","551.7909427","Geology, Stratigraphic--Quaternary ; Geology--Wales--Brecon Beacons National Park","","English","'Produced to accompany the QRA Annual Field Meeting based at the Castle of Brecon Hotel, Brecon, 22-26th April 2007'--T.p. verso"
"014612063","Monograph","Language material ; Text","Volume","GBA927050","9781906549015","","","","","","The Cairngorms : a pictorial souvenir","","Pictorial souvenir","","Scotland","Moray","Ness Pub","2008","","79 pages, colour illustrations, 12 x 17 cm","914.124","YK.2009.a.27032","Cairngorms National Park (Scotland)--Guidebooks ; Cairngorms National Park (Scotland)--Pictorial works","Guidebook ; Pictorial work","English",""
"014617700","Monograph","Language material ; Text","Volume","GBA945951","","","","","","","Wherryman's Way : circular walks","","","","England","Norwich","Norfolk County Council","2008","","56 pages, illustrations (chiefly colour), colour maps, 21 cm","914.2617","YK.2009.a.14430","Broads, The (England)--Guidebooks ; Trails--England--Broads, The--Guidebooks","Guidebook","English",""
"014623801","Monograph","Language material ; Text","Volume","GBA941079","","","","","","Ellis, Richard, 1945- [person] ; Barber, Diane [person] ; Stalham with Happing Partnership [organisation]","Water to land : 10 walks from Broadland Mooring","","","","England","Stalham","Stalham with Happing Partnership","2007","","20 pages, illustrations, maps, 21 cm","796.510942617","YK.2009.a.12589","Broads, The (England)--Guidebooks ; Walking--Broads, The (England)--Guidebooks","Guidebook","English",""
"014628051","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240243","","","","","","The English Lakes : South-eastern area : Windermere, Kendal & Silverdale : showing part of the Lake District National Park","","OS explorer map","OL 7 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014628057","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240236","","","","","","The English Lakes : South-western area : Corniston, Ulverston & Barrow-in-Furness : showing part of the Lake District National Park","","OS explorer map","OL 6 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014628062","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240229","","","","","","The English Lakes : North-eastern area : Penrith, Patterdale & Caldbeck : showing part of the Lake District National Park","","OS explorer map","OL 5 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014628069","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240212","","","","","","The English Lakes : North-western area : Keswick, Cockermouth & Wigton : showing part of the Lake District National Park","","OS explorer map","OL 4 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014628085","Monograph","Language material ; Text","Volume","GBA871852","","","","","","Scottish Natural Heritage (Agency) [organisation] ; Land Use Consultants (Great Britain) [organisation]","Monitoring of development patterns in and around national park areas : July 2007 update, [final report and appendices]","","Commissioned report","number 242 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2008","","14, 112 pages, illustrations (chiefly colour), colour maps, 30 cm","333.7209411","OPA.2011.x.1264","Cairngorms National Park (Scotland)--Management ; Cairngorms National Park (Scotland)--Planning ; Loch Lomond and the Trossachs National Park (Scotland)--Management ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","' (ROAME number R06AA504) .'"
"014628087","Monograph","Language material ; Text","Volume","GBA871854","","","","","","Loch Lomond and the Trossachs National Park Authority [organisation]","Strategic environmental assessment : draft environmental report for the local plan issues report","Draft environmental report for the local plan issues report ; Local plan issues report strategic environmental assessment","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2008","","47 pages, illustrations, map, 30 cm","","","Strategic planning--Environmental aspects--Scotland--Loch Lomond and the Trossach National Park ; Environmental impact assessment--Scotland--Loch Lomond and the Trossachs National Park ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","Cover title"
"014628088","Monograph","Language material ; Text","Volume","GBA871855","","","","","","Loch Lomond and the Trossachs National Park Authority [organisation]","Strategic environmental assessment : draft environmental report for the local plan issues report. Appendix 4. Individual policy options assessment","Draft environmental report for the local plan issues report. Appendix 4. Individual policy options assessment ; Local plan issues report strategic environmental assessment","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2008","","156 pages, 30 cm","","","Strategic planning--Environmental aspects--Scotland--Loch Lomond and the Trossach National Park ; Environmental impact assessment--Scotland--Loch Lomond and the Trossachs National Park ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","Cover title"
"014628099","Monograph","Language material ; Text","Volume","GBA871866","","","","","","Loch Lomond and the Trossachs National Park Authority [organisation]","Development plan scheme : how we will prepare the new local plan and how you can get involved","Local plan issues report development plan scheme","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2008","","19 pages, map, 30 cm","","","National parks and reserves--Scotland--Loch Lomond and the Trossachs National Park--Planning--Citizen participation ; Loch Lomond and the Trossachs National Park (Scotland)--Planning--Citizen participation","","English","Cover title"
"014628100","Monograph","Cartographic image ; Cartographic material ; Text","Volume","GBA871867","","","","","","Cairngorms National Park Authority [organisation]","Cairngorms National Park : core paths plan draft : consultation April 2008","","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2008","","56 pages, illustrations, colour maps, form, 30 cm","912.4124","Maps.2016.a.215","Trails--Scotland--Cairngorms National Park ; Right of way--Scotland--Cairngorms National Park ; Cairngorms National Park (Scotland)","","English","Cover title ; Relief shown by contours, shading and spot heights ; Spiral bound"
"014628101","Monograph","Language material ; Text","Volume","GBA871868","","","","","","Loch Lomond and the Trossachs National Park Authority [organisation]","Local plan issues report : March 2008","Loch Lomond & The Trossachs National Park Authority local plan issues report","","","Scotland","Balloch","Loch Lomond ; Trossachs National Park Authority","2008","","54 pages, colour maps, 30 cm + 1 form","","","National parks and reserves--Scotland--Loch Lomond and the Trossachs National Park--Planning ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","Cover title"
"014628683","Serial","Language material ; Text","Volume","","","","","","","","State of the park report- Loch Lomond and the Trossachs National Park","","","","United Kingdom","Balloch","Loch Lomond ; Trossachs National Park Authority","2005","","","","8438.269250","","","English",""
"014631049","Monograph","Language material ; Text","Volume","","9781900916196","","","","","","Cairngorms National Park : Where to go","","","","England","Inverness-Shire","Ice Publishing","2008","","","","","","","English","paperback"
"014645087","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240144","","","","","","Dartmoor : showing part of the Dartmoor National Park","","OS explorer map","OL 28 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014645091","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240083","","","","","","Exmoor : Barnstaple, Lynton, Minehead and Dulverton : showing part of the Exmoor National Park and South West Coast Path","","OS explorer map","OL 9 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014645101","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240106","","","","","","Harlech, Porthmadog & Bala / Y Bala : showing part of the Snowdonia National Park / Yn dangos rhan o Barc Cenedlaethol Eryri","","OS explorer map","OL 18 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014645116","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240137","","","","","","Cadair Idris & Llyn Tegid : Woolacombe & Lundy : showing part of the Snowdonia National Park / Yn dangos rhan o Barc Cenedlaethol Eryri","","OS explorer map","OL 23 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English ; Welsh",""
"014645120","Monograph","Cartographic image ; Cartographic material","Volume","","9780319240113","","","","","","Howgill Fells & Upper Eden Valley : showing part of Yorkshire Dales National Park and the Pennine Way","","OS explorer map","OL 19 [OS explorer map]","","","Ordnance Survey","2008","","","","","","","English",""
"014647887","Monograph","Language material ; Text","Volume","GBA878842","9781841147444","Hutton, Tom","","person","","Hutton, Tom [person]","A boot up the Brecon Beacons","","","","England","Wellington","Halsgrove","2008","","1 volume, colour illustrations, colour maps, 11 x 16 cm","914.2956","","Walking--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English",""
"014647890","Monograph","Language material ; Text","Volume","GBA878845","9781841147697","Rawson, Jerry","","person","","Rawson, Jerry [person]","A vision of Snowdonia","","","","England","Wellington","Halsgrove","2008","","1 volume, chiefly colour illustrations, 23 x 31 cm","914.2925","","Snowdonia National Park (Wales)--Pictorial works ; Snowdonia National Park (Wales)--Description and travel","Pictorial work","English",""
"014650818","Monograph","Language material ; Text","Sheet","GBA879725","","New Forest National Park Authority","","organisation","","New Forest National Park Authority [organisation]","What's on 2008","","","","England","Lymington","New Forest National Park Authority","2008","","folded sheet, colour illustrations, 43 x 50 cm folded to 22 x 10 cm","","","New Forest (England : Forest)--Guidebooks ; Leisure--England--New Forest","Guidebook","English",""
"014658526","Monograph","Language material ; Text","Online resource","","","Winn, Jonathan","","person","","Winn, Jonathan [person] ; University of Sheffield [organisation]","Strategic woodland conservation planning : landscape ecology, landscape assessment and geographic information systems : a case study examining habitat quality modelling and the prediction of upland oakwood biodiversity within 'clough' landforms of the Dark Peak Natural Area, Peak District National Park, UK","","","","England","Sheffield","University of Sheffield","2007","","2 volumes, 31 cm","333.7516","444918","","","English",""
"014660880","Monograph","Language material ; Text","Volume","GBA884793","","","","","","Brecon Beacons National Park Authority [organisation]","Brecon Beacons National Park visitor guide 2007","","","","Wales","Brecon","Brecon Beacons National Park","2007","","72 pages, colour illustrations, 21 cm","","","Brecon Beacons National Park (Wales)--Description and travel","","English",""
"014665510","Monograph","Language material ; Text","Volume","GBB190794","","","","","","Dartmoor National Park Authority [organisation]","Local development framework : core strategy development plan document 2006 - 2026 : adopted version","","","","England","Newton Abbot","Dartmoor National Park Authority","2008","","88 pages, illustrations (some colour), 30 cm","333.783150942353","OPA.2011.x.1805","National parks and reserves--England--Devon ; Nature conservation--England--Devon ; Architecture, Domestic--England--Dartmoor National Park ; Sustainable development--England--Devon ; Dartmoor National Park (England) ; Regional planning--England--Devon","","English",""
"014671245","Serial","Language material ; Text","Volume","GBA889941","","Cairngorms National Park Authority","","organisation","","Cairngorms National Park Authority [organisation]","Cairngorms National Park plan","","","","Scotland","Grantown-on-Spey","Cairngorms National Park Authority","2007-","","volumes, colour illustrations, 30 cm","333.783094124","ZK.9.b.26177","Cairngorms National Park (Scotland)--Planning--Periodicals","Periodical","English","Continued by: Cairngorms National Park Authority. Cairngorms National Park Partnership plan"
"014674574","Monograph","Language material ; Text","Volume","GBA891287","9781841147963","Stansfield, Andy","","person","","Stansfield, Andy [person]","Portrait of Loch Lomond and the Trossachs National Park","","","","England","Wellington","Halsgrove","2008","","1 volume, colour illustrations, 23 cm","914.142","","Trossachs (Scotland)--Pictorial works ; Lomond, Loch (Scotland)--Pictorial works ; Lomond, Loch (Scotland)--Description and travel ; Trossachs (Scotland)--Description and travel","Pictorial work","English",""
"014690530","Monograph","Language material ; Text","Volume","GBA9C4583","9780905981604","","","","","Dartmoor National Park Authority [organisation]","Dartmoor National Park Authority : local development framework : statement of community involvement : adopted version","","","","England","Devon","Dartmoor National Park Authority","2008","","28 pages, 30 cm","333.783150942353","YK.2009.b.9529","Dartmoor National Park (England)","","English",""
"014695926","Monograph","Language material ; Text","Volume","GBA8A0203","","","","","","Scottish Natural Heritage (Agency) [organisation]","Nature conservation value of soils : bringing functionality into practice","","Commissioned report","number 228 [Commissioned report]","Scotland","Perth","","2008","","viii, 122 pages, colour illustrations, colour maps, 30 cm","333.7316","OPA.2011.x.1681","Soil conservation--Scotland--Cairngorms National Park","","English","' (ROAME number F05AC101) .'"
