"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Lyndhurst, Swan Green and Bank : conservation area character appraisals","","015564753","Monograph","Language material ; Text","Volume","GBB130007","","","","","","New Forest National Park Authority [organisation]","","","England","Lymington","New Forest National Park Authority","2010","","127 pages, colour illustrations, maps, 30 cm + 1 CD","363.69","EMC.2011.b.230","Historic buildings--Conservation and restoration--England--Lyndhurst ; Historic buildings--Conservation and restoration--England--Hampshire ; Lyndhurst (England)--Antiquities ; Bank (England)--Antiquities","","English","Cover title"
"Lynton and Lynmouth Draft Local Plan and supplementary planning guidance","","009764507","Monograph","Language material ; Text","Volume","","","Somerset (England), County Council","","organisation","","Somerset (England), County Council [organisation]","","","","Dulverton, Somerset","Somerset County Council Exmoor National Park Committee","1980","","","","f81/1369","","","English",""
"Lynton and Lynmouth draft local plan and supplementary planning guidance","","011050200","Monograph","Language material ; Text","Volume","","","","","","","Exmoor National Park Committee [organisation] ; Somerset (England), County Council [organisation]","","","","Taunton","Somerset County Council","1980","","","307.12","fv81/1369","Regional planning ; Urban planning & rural planning","","English",""
"MARR LODGE : To the Right Hone the Earl of Fife Lord Viscount Macduff, Baron Braco of the KINGDOM of Ireland and Baron FIFE in the Great Britain F.R.S & A.S. This View of his Lordship's Hunting Seat in Marr Forrest is humbly Dedicated by his Lordship's most obedient Servant Peter Mazell F.S.A","","004887480","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Mazell, Peter","active 1761-1797","person","printmaker","Cordiner, Charles, approximately 1746-1794, artist [person] ; Tompkins, active 1791, artist [person] ; Mazell, Peter, active 1761-1797, printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; George, III, King of Great Britain, 1738-1820 [person]","","","England","London","Peter Mazell Enrgaver No7 Brydges Street Covent Garden ; Publish'd according to Act of Parliament May 25th","1791","","1 print, etching and engraving, platemark 33.5 x 51.9 cm, on sheet 35 x 53.5 cm","704.94364124","Maps K.Top.49.15","Cairngorms National Park (Scotland)--Pictorial works--Early works to 1800 ; Estates--Scotland--Cairngorms National Park--1790-1800 ; Houses--Scotland--Cairngorms National Park--1790-1800 ; Landscapes--Scotland--Cairngorms National Park--Pictorial works--Early works to 1800 ; Rivers--Scotland--Cairngorms National Park--1790-1800","Early works to 1800 ; Engraving ; Etching ; Pictorial work ; Plan or view","English","Titled 'A View of Marr Lodge, the Hunting Seat of the Earl of Fife in Marr Forest, engraved by Peter Mazell, from a drawing by Cordiner after Tompkins, 1791.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"MISCELLANEOUS BRITISH SCENERY. No 2nd Plate 4th. St David's Head S.W. = PAЇSAGES ANGLAIS. No2nd, Planche 4me. Vuê de la Pointe de St David","","004923499","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","Havell, Robert","1769-1832","person","printmaker","R. Havell & Son, printmaker [organisation] ; Havell, Robert, 1769-1832, printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Walmsley, Thomas, 1763-1805 or 1806, artist [person] ; Havell, Daniel, -approximately 1826, printmaker [person]","","","England","London","James Daniell Engraver 480 Strand ; Londrés chez James Daniell Graveur 480 Strand","1810","","1 print, aquatint and etching with hand-colouring, sheet 45.7 x 60.7 cm","704.943642962","Maps K.Top.47.85.g","Bodies of water--Wales--Pembrokeshire Coast National Park--1810-1820 ; Boats--Wales--Pembrokeshire Coast National Park--Pictorial works ; Pembrokeshire Coast National Park (Wales)--Pictorial works ; Rocks--Wales--Pembrokeshire Coast National Park--1810-1820","Aquatint ; Etching ; Pictorial work ; Plan or view","English","Titled 'S.W. View of Saint David's Head, by Walmsley, engraved by R. and D. Havell, 1810.' in the Catalogue of Maps, Prints, Drawings, etc, forming the geographical and topographical collection attached to the Library of his late Majesty King George the third, etc, London, 1829"
"MISCELLANEOUS PUBLICATIONS- BRECON BEACONS NATIONAL PARK","","007202997","Serial","Language material ; Text","Volume","","","","","","","","","","","","","","","","","BS.116/126","","","English",""
"Management Agreements in Exmoor National Park : Guidelines governing the financial aspects of Management Agreements relating to land in the National Park included in 'Porchester Map 1'","","009143908","Monograph","Language material ; Text","Volume","","","Exmoor National Park Committee","","organisation","","Exmoor National Park Committee [organisation]","","","","Dulverton Somerset","Exmoor National Park Committee","1981","","","","f82/3351","","","English",""
"Management Agreements in Exmoor National Park : Guidelines governing the financial aspects of Management Agreements relating to land in the National Park included in 'Porchester Map 1'","","009777677","Monograph","Language material ; Text","Volume","","","Exmoor National Park Committee","","organisation","","Exmoor National Park Committee [organisation]","","","","Dulverton Somerset","Exmoor National Park Committee","1986","Revised edition","","","89/30451","","","",""
"Management agreements in Exmoor National Park : Guidelines governing the financial aspects of management agreements relating to land in the National Park included in 'Porchester map 1'","","011052526","Monograph","Language material ; Text","Volume","","","","","","","National Farmers' Union (Great Britain) [organisation] ; Country Landowners' Association [organisation] ; Exmoor National Park Committee [organisation]","","","","Dulverton","Exmoor National Park Committee","1982","","","658","f82/3351","Management ; Management & business studies","","English",""
"Management and monitoring in protected areas : a case study in the New Forest National Park : the effects upon valley mire and heathland communities","","018326633","Monograph","Language material ; Text","Online resource","","","Lovegrove, Alexander Thomas","","person","author","Lovegrove, Alexander Thomas, author [person] ; Bournemouth University [organisation]","","","United Kingdom","","Bournemouth University","2017","","1 online resource","333.72","707681","","","English",""
"Management plan","National Park management plan ; Peak District National Park management plan","019674585","Serial","Language material ; Text","Online resource","GBC008146","","Peak District National Park Authority","","organisation","author","Peak District National Park Authority, author [organisation]","","","England","Bakewell","Peak District National Park","","","illustrations (colour)","333.78310942511","","Peak District National Park Authority--Planning--Periodicals ; Peak District National Park (England)--Periodicals","Periodical","English","Accompanied on Web site by associated PDFs"
"Managing the impact of car-based visitor traffic in the North York Moors National Park; visitor and Parish Council surveys 1994-1995","Visitor and Parish Council surveys in the North York Moors National Park : Visitor's and Parish Council's views towards traffic, environmental conditions and possible traffic management methods in the North York Moors National Park","006388114","Monographic component part","Language material ; Text","Volume","","9780863421822","Coleman, Charlotte","","person","","Coleman, Charlotte [person] ; Oxford Brookes University, School of Planning [organisation]","Working paper","no 167 [Working paper]","","","Oxford Brookes University, School of Planning","1996","","","307.12 ; 790 ; 796 ; 910","9349.834020","Sport & Recreation ; Urban planning & rural planning ; Regional planning ; Sports ; Tourism ; Car; Conservation; Preservation","","English",""
"Mannau ar lan y dŵr","Waterside places = Mannau ar lan y dŵr","007033736","Monograph","Language material ; Text","Sheet","GBA354109","","","","","","Brecon Beacons National Park Authority [organisation]","","","Wales","Brecon","Brecon Beacons National Park","2002","","1 folded sheet, colour illustrations, map, 60 x 42 cm folded to 20 x 14 cm","","","Waterways--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English ; Welsh",""
"Mannau i fynd sydd â mynediad haws","Places to visit with easier access","014907631","Monograph","Language material ; Text","Volume","GBA916511","","","","","","Brecon Beacons National Park Authority [organisation]","","","Wales","Brecon","Brecon Beacons National Park","2008","","65, 65 pages, colour illustrations, 21 cm","","","Trails--Wales--Brecon Beacons National Park--Guidebooks ; People with disabilities--Wales--Brecon Beacons National Park--Guidebooks ; Brecon Beacons National Park (Wales)--Guidebooks","Guidebook","English ; Welsh",""
"Map cadwraeth (datganiad polisi) : Adran 3 Deddf Bywyd Gwyllt a Chefn Gwlad (Diwygiad) 1985","Conservation map of Snowdonia ; Map cadwraeth o Eryri ; Wildlife and Countryside (Amendment) Act 1985","010990743","Monograph","Language material ; Text","Volume","GB9226251","9780948161032","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","","","Wales","Penrhyndeudraeth","Parc Cenedlaethol Eryri","1991","","16, 16 pages, maps, 30 cm","","","National parks and reserves--Wales--Maps ; Snowdonia National Park--Maps","","English ; Welsh","5 map wedi'u plygu mewn poced yn y clawr = 5 folded maps in pocket inside cover ; Teitlau'r clawr yn amrywio = Cover titles vary"
"Map cadwraeth o Eryri","Conservation map of Snowdonia ; Map cadwraeth (datganiad polisi) : Adran 3 Deddf Bywyd Gwyllt a Chefn Gwlad (Diwygiad) 1985 ; Wildlife and Countryside (Amendment) Act 1985","010990743","Monograph","Language material ; Text","Volume","GB9226251","9780948161032","Snowdonia National Park","","organisation","","Snowdonia National Park [organisation]","","","Wales","Penrhyndeudraeth","Parc Cenedlaethol Eryri","1991","","16, 16 pages, maps, 30 cm","","","National parks and reserves--Wales--Maps ; Snowdonia National Park--Maps","","English ; Welsh","5 map wedi'u plygu mewn poced yn y clawr = 5 folded maps in pocket inside cover ; Teitlau'r clawr yn amrywio = Cover titles vary"
"Map of moor and heath under Wildlife and Countryside Act 1981, section 43 : Parc Cenedlaethol Bannau Brycheiniog = Brecon Beacons National Park","","005020884","Monograph","Language material ; Text","Volume","","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","","","Wales","Brecon","Brecon Beacons National Park Committee","1984","","1 atla (iv, 50 pages), 25 maps, 30 cm","","Maps 213.b.33","Brecon Beacons--Vegetation ---atlases--1989","Atlas","English",""
"Map of moor and heath","","012687448","Monograph","Language material ; Text","Volume","GB9009132","9780905293066","","","","","Brecon Beacons National Park Committee [organisation]","","","England ; Wales","Brecon","Brecon Beacons National Park","1984","","53 pages, chiefly maps, 30 cm","912.42956","MapLibrary","South Wales--National parks--Brecon Beacons National Park--Heathland","","English",""
"Mapping the countryside : information for policy and management","","016509663","Monograph","Language material ; Text","Online resource","","","Tantram, Dominic A. S.","","person","author","Tantram, Dominic A. S., author [person] ; University of Leicester [organisation] ; Briggs, David J. [person] ; McCollin, Duncan [person]","","","United Kingdom","","University of Leicester","2001","","1 online resource","526","576600","","","English",""
"Marine interpretation on the North York Moors National Park coastline","","006093879","Monographic component part","Language material ; Text","Volume","","","Foster-Smith, R. (Robert)","","person","","Nature Conservancy Council (Great Britain) [organisation] ; Foster-Smith, R. (Robert) [person]","","","","","Nature Conservancy Council","1988","","","577","3490.375000","Ecology ; Marine conservation","","",""
"Mawddach trail","Llwybr Mawddach","007692160","Monograph","Language material ; Text","Sheet","GBA401177","","","","","","Snowdonia National Park [organisation]","","","Wales","Penrhyndeudraeth","Snowdonia National Park","2003","","1 sheet, colour illustrations, colour maps, 42 x 60 cm folded to 21 x 15 cm","","","Mawddach River Estuary (Wales)--Guidebooks ; Trails--Wales--Snowdonia--Guidebooks ; Snowdonia (Wales)--Guidebooks","Guidebook","English ; Welsh","Teitl clawr = Cover title"
"May Beck Trail : by farm, moor and forest","","007445852","Monograph","Language material ; Text","Volume","GB9365059","9780907480457","","","","","North York Moors National Park [organisation]","","","England","Helmsley","North York Moors National Park","1993","","16 pages, illustrations, 21 cm","914.284604859","YK.1995.a.794","May Beck Trail (England)--Guidebooks ; North Yorkshire (England) ; Trails--England--North Yorkshire ; Travel","","English","Title from cover"
"Measuring change : in the North York Moors National Park","","010988820","Monograph","Language material ; Text","Volume","GB9873737","9780907480761","North York Moors National Park Authority","","organisation","","North York Moors National Park [organisation] ; North York Moors National Park Authority [organisation]","","","England","Helmsley","North York Moors National Park","1998","","40 pages, illustrations, maps, 30 cm","307.12 ; 910","GPE/3595","Urban planning & rural planning ; Regional planning ; Geography ; National parks and reserves--England--North York Moors--Management ; North York Moors National Park (England) ; North York Moors National Park (England)--Statistics","","English","'April 1998.'"
"Meeting the challenges of the new millennium : a proposal for a wider New Forest National Park","","011089831","Monograph","Language material ; Text","Volume","","","Council for National Parks","","organisation","","Ramblers' Association [organisation] ; Council for National Parks [organisation]","","","","","Council for National Parks","1998","","","307.12 ; 634.9","m01/33411","Forestry & agroforestry & sustainable forestry ; Regional planning ; Forests and forestry ; Urban planning & rural planning","","English",""
"Meirionnydd Quakers","Crynwyr Meirion = The Meirionnydd Quakers","017181853","Monograph","Language material ; Text","Volume","GBB556594","","Eames, Marion","","person","author","Snowdonia National Park (Wales) [organisation] ; Eames, Marion, author [person]","","","Wales","Porthmadog","Parc Cenedlaethol Eryri","2015","","4 unnumbered pages, 30 cm","","","Society of Friends--Wales, North--History ; Society of Friends--Pennsylvania","","English",""
"Meithrin Mynydd (common land management in upland Wales)","Meithrin Mynydd; (rheoli tir comin yn ucheldir Cymru)","007818894","Monograph","Language material ; Text","Volume","","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","","","","","Brecon Beacons National Park Authority","1999","","","307.12 ; 577","99/22351","Regional planning ; Ecology ; National Parks ; Urban planning & rural planning","","English",""
"Meithrin Mynydd : common land management in upland Wales: rheoli tir comin yn ucheldir Cymru","","008377249","Monograph","Language material ; Text","Volume","GB9958508","","","","","","Brecon Beacons National Park Authority [organisation]","","","Wales","Brecon","Brecon Beacons National Park Authority","1999","","8, 8 pages, illustrations, map, 21 cm","","","Commons--Wales","","English ; Welsh","Teitl clawr = Cover title"
"Meithrin Mynydd; (rheoli tir comin yn ucheldir Cymru)","Meithrin Mynydd (common land management in upland Wales)","007818894","Monograph","Language material ; Text","Volume","","","Brecon Beacons National Park Authority","","organisation","","Brecon Beacons National Park Authority [organisation]","","","","","Brecon Beacons National Park Authority","1999","","","307.12 ; 577","99/22351","Regional planning ; Ecology ; National Parks ; Urban planning & rural planning","","English",""
"Memories of mill and marsh","","016549221","Monograph","Language material ; Text","Volume","","9780947630119","Dye, Margaret","","person","author","Dye, Margaret, author [person]","","","England","Dereham, Norfolk","Nostalgia Publications","1993","","36 pages, black and white illustrations, 25 cm","942.617","YD.2014.a.305","Artisans--England--Broads, The--Anecdotes ; Norfolk (England) ; Broads, The (England)--Anecdotes ; Broads, The (England)--Social life and customs","","English",""
"Merrivale : an archaeological landscape","","013006535","Monograph","Language material ; Text","Volume","GBA471309","9780905981314","","","","","Dartmoor National Park Authority [organisation] ; English Heritage [organisation]","","","England","Newton Abbot","Dartmoor National Park Authority","2004","","28 pages, illustrations, maps, 21 cm","936.2353","YC.2006.a.10067","Merrivale Prehistoric Settlement (England) ; Leys--England--Dartmoor--Guidebooks ; Dartmoor (England)--Antiquities--Guidebooks ; Stone circles--England--Dartmoor--Guidebooks","Guidebook","English","At foot of title: English Heritage ; Title from cover"
"Microseismic monitoring of the controls on coastal rock cliff erosion","","016138616","Monograph","Language material ; Text","Online resource","","","Norman, Emma Catherine","","person","","University of Durham [organisation] ; Norman, Emma Catherine [person]","","","United Kingdom","","Durham University","2012","","1 online resource","551.4","551415","","","English",""
"Milford Haven waterway","","007433115","Monograph","Language material ; Text","Volume","GB8202848","9780905559070","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","Pembrokeshire Coast National Park area guide","","Wales","Newport, Dyfed","Greencroft for the Pembrokeshire Coast National Park Authority","1981","","32 pages, illustrations, maps, 21 cm","914.2962","X.809/49930","Dyfed--Milford Haven (Estuary)--region ; Milford Haven (Wales : Inlet) region","","English","Text on inside covers"
"Military training in the Northumberland National Park : advice to the Ministry of Defence from the Countryside Commission","","010353489","Monograph","Language material ; Text","Volume","GB9513313","9780861704439","","","","","Great Britain, Countryside Commission [organisation]","","","England","Walgrave","Countryside Commission","1994","","26 pages, illustrations, 30 cm","","","Northumberland (England) ; Military education--England--Northumberland ; Northumberland National Park (England)","","English",""
"Mineral resource information for development plans. Peak District National Park : resources and constraints","Minerals resource information for development plans. Peak District National Park","010350635","Monograph","Language material ; Text","Volume","GB9610257","9780852722473","Highley, D. E. (David Edward)","1946-","person","","Harrison, D. J. (David John), 1950- [person] ; Cameron, D. G. (Donald Graham), 1953- [person] ; Holloway, S. [person] ; Highley, D. E. (David Edward), 1946- [person] ; British Geological Survey [organisation] ; Great Britain, Department of the Environment [organisation]","British Geological Survey technical report ; Mineral resources series","WF/95/4 [British Geological Survey technical report]","England","Keyworth","British Geological Survey","1995","","23 leaves, illustrations, 30 cm + map","","","Mines and mineral resources--England--Peak District National Park","","English","1:100,000 scale map in pocket ; Cover title: Minerals resource information for development plans. Peak District National Park ; Prepared for the Department of the Environment"
"Mineral resources information for development plans Peak District National Park : resources and constraints","Peak District National Park: resources and constraints","006301176","Monographic component part","Language material ; Text","Volume","","9780852722473","Highley, D. E.","","person","","Cameron, D. G. [person] ; Highley, D. E. [person] ; British Geological Survey, Mineral Sciences Group [organisation]","Mineral resources series","","","","British Geological Survey, Mineral Sciences Group","1995","","","549 ; 551 ; 552.5 ; 622","8714.108100","Mines and mineral resources ; Mineralogy ; Sedimentology ; Geology ; Mining","","English",""
"Minerals local plan for Powys : excluding the Brecon Beacons National Park","","008365350","Monograph","Language material ; Text","Volume","GB9617507","","","","","","Powys (Wales), County Council [organisation]","","","Wales","Llandrindod Wells","Powys County Council","1995","","35, 16 pages, 1 folding leaf, illustrations, maps, 30 cm","","","Mineral industries--Wales--Powys","","English","Map inside back cover"
"Minerals resource information for development plans. Peak District National Park","Mineral resource information for development plans. Peak District National Park : resources and constraints","010350635","Monograph","Language material ; Text","Volume","GB9610257","9780852722473","Highley, D. E. (David Edward)","1946-","person","","Harrison, D. J. (David John), 1950- [person] ; Cameron, D. G. (Donald Graham), 1953- [person] ; Holloway, S. [person] ; Highley, D. E. (David Edward), 1946- [person] ; British Geological Survey [organisation] ; Great Britain, Department of the Environment [organisation]","British Geological Survey technical report ; Mineral resources series","WF/95/4 [British Geological Survey technical report]","England","Keyworth","British Geological Survey","1995","","23 leaves, illustrations, 30 cm + map","","","Mines and mineral resources--England--Peak District National Park","","English","1:100,000 scale map in pocket ; Cover title: Minerals resource information for development plans. Peak District National Park ; Prepared for the Department of the Environment"
"Miscellaneous leaflets","","001105664","Serial","Language material ; Text","Volume","","","Dartmoor National Park Committee","","organisation","","Dartmoor National Park Committee [organisation]","","","England","Exeter","","1965","","","","X.0981/52","","","",""
"Miscellaneous leaflets","","001131572","Serial","Language material ; Text","Volume","","","Council for the Preservation of Rural England, Sheffield and Peak District Committee","","organisation","","Council for the Preservation of Rural England, Sheffield and Peak District Committee [organisation]","","","England","Sheffield","","1957-1993","","volumes (8°)","","J/10095.t.25","","","English",""
"Miscellaneous publications not catalogued separately","","001110845","Monograph","Language material ; Text","Volume","","","Lake District National Park Authority","","organisation","","Lake District National Park Authority [organisation]","","","England","Windermere","","1972","","","","B.S.32/117","","","",""
"Miscellaneous publications","","003438724","Serial","Language material ; Text","Volume","","","Exmoor National Park Committee (Somerset)","","organisation","","Exmoor National Park Committee (Somerset) [organisation]","","","","Taunton","","1967","","","","X.0800/153","","","",""
"Miscellaneous publications, not catalogued separately","","001122186","Monograph","Language material ; Text","Volume","","","Yorkshire Dales National Park Authority (North Yorkshire, England)","","organisation","","Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation]","","","England","Harrogate","","1971","","","","B.S.32/118","","","",""
"Miscellaneous publications, not catalogued separately","","007993533","Serial","Language material ; Text","Volume","","","Brecon Beacons National Park Committee","","organisation","","Brecon Beacons National Park Committee [organisation]","","","England ; Wales","Brecon","Committee","1977-","","30 cm","","BS:116/126","","","English",""
"Miscellaneous publications, not catalogued separately","","007995509","Monograph","Language material ; Text","Volume","","","Somerset (England), Exmoor National Park Committee","","organisation","","Somerset (England), Exmoor National Park Committee [organisation]","","","England","Minehead","Exmoor National Park Committee","1974-","","30 cm","","BS.462/4","England--Exmoor--National parks--Exmoor National Park","","English",""
"Miscellaneous publications, not catalogued separately","","009361406","Serial","Language material ; Text","Volume","","","North York Moors National Park, Information Service","","organisation","","North York Moors National Park, Information Service [organisation]","","","England","Helmsley","Service","1980-","","30 cm","","BS:116/171","","","English",""
"Miscellaneous publications, not catalogued separately","","009986918","Serial","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","","","Wales","Haverfordwest","Committee","1981-","","","","BS.116/197","","","English",""
"Modes of engagement with a national landscape : cultural production of Exmoor National Park","","017722918","Monograph","Language material ; Text","Online resource","","","Wilkinson, Timothy John","","person","author","Winter, Michael, 1955- [person] ; University of Exeter [organisation] ; Wilkinson, Timothy John, author [person] ; Harvey, David [person] ; Fish, Robert [person]","","","United Kingdom","","University of Exeter","2015","","1 online resource","550","676434","","","English",""
"Monadhliath Mountains North & Strathdearn : showing part of the Cairngorms National Park : 1:25 000","","014512694","Monograph","Cartographic image ; Cartographic material","Volume","","9780319239520","","","","","","Explorer map","417 [Explorer map]","","","Ordnance Survey","2007","A1","","","","","","English",""
"Monitoring and modelling sediment flux from eroding peatland : a study of moorland erosion in the Peak District National Park (UK)","","016441176","Monograph","Language material ; Text","Online resource","","","Yang, Juan","","person","author","University of Manchester [organisation] ; Yang, Juan, author [person]","","","United Kingdom","","University of Manchester","2005","","1 online resource","333.91","572688","","","English",""
"Monitoring breeding waders in Wensleydale : trialling surveys carried out by farmers and gamekeepers","","018763001","Monograph","Language material ; Text","Volume","GBB864358","9781908581853","Jarrett, David, Fieldwork, training, engagement officer","","person","author","Jarrett, David, Fieldwork, training, engagement officer, author [person] ; Bto Scotland [organisation] ; Yorkshire Dales National Park Authority (North Yorkshire, England) [organisation] ; British Trust for Ornithology [organisation]","BTO research report","number 703 [BTO research report]","Scotland","Stirling","BTO Scotland","2017","","45 pages, colour illustrations, map (colour), 30 cm","","YKL.2018.b.6504","Bird populations--England--Wensleydale ; Charadriiformes--Monitoring--England--Wensleydale ; Bird surveys--England--Wensleydale","","English","'A report to the Yorkshire Dales National Park Authority.' ; 'November 2017'--Back cover ; Title from cover"
"Monitoring of development patterns in and around national park areas : July 2007 update, [final report and appendices]","","014628085","Monograph","Language material ; Text","Volume","GBA871852","","","","","","Scottish Natural Heritage (Agency) [organisation] ; Land Use Consultants (Great Britain) [organisation]","Commissioned report","number 242 [Commissioned report]","Scotland","Inverness","Scottish Natural Heritage","2008","","14, 112 pages, illustrations (chiefly colour), colour maps, 30 cm","333.7209411","OPA.2011.x.1264","Cairngorms National Park (Scotland)--Management ; Cairngorms National Park (Scotland)--Planning ; Loch Lomond and the Trossachs National Park (Scotland)--Management ; Loch Lomond and the Trossachs National Park (Scotland)--Planning","","English","' (ROAME number R06AA504) .'"
"Monitoring report : Local development framework","","019539304","Serial","Language material ; Text","Volume","","","New Forest National Park Authority","","organisation","author","New Forest National Park Authority, author [organisation]","","","England","Lymington","New Forest National Park Authority","2013-","","30 cm","333.7830942275","ZC.9.b.10811","New Forest National Park Authority--Planning--Periodicals","Periodical","English","Continues: New Forest National Park Authority. Annual monitoring report (New Forest National Park Authority) ; Each report covers the period 1 April ... to 31 March"
"Monks & shepherds in the Yorkshire Dales","","012688411","Monograph","Language material ; Text","Volume","GB7705919","9780905455044","Raistrick, Arthur","","person","","Raistrick, Arthur [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation]","","","England","Leyburn ; Yorebridge House, Bainbridge, Leyburn, N Yorkshire","Yorkshire Dales National Park Committee","1976","","3, 22, 1 page, illustrations, 1 map, 21 cm","333.3220942841","77/13533 ; BS.116/153","Bolton Abbey (Bolton Abbey, England) ; Fountains Abbey (North Yorkshire, England) ; Church property--England--Craven, N. Yorkshire--History ; Yorkshire Dales (England)--Church history ; North Yorkshire--Craven (District)--Ecclesiastical estates--Estates of Fountains Abbey, Ripon--1150-1780","","English",""
"Monks and shepherds in the Yorkshire Dales","","010396832","Monograph","Language material ; Text","Volume","","","Raistrick, Arthur","","person","","Raistrick, Arthur [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation]","","","","","Yorkshire Dales National Park Committee","1980","","","","84/17461","","","English",""
"Monmouth Borough local plan : including waste policies (excluding Brecon Beacons National Park) : adopted version, 1st May 1997","","008374079","Monograph","Language material ; Text","Volume","GB9867115","","Monmouthshire (Wales), County Council","","organisation","","Monmouthshire (Wales), County Council [organisation]","","","Wales","Cwmbran","Monmouthshire County Council","1997","","137, 37 pages, colour illustrations, maps (chiefly folded), 30 cm + 2 maps","","","Regional planning--Wales--Monmouthshire","","English","Maps in pocket on inside back cover"
"Monmouthshire County Council unitary development plan 1st January 1996 - 1st January 2011 (excluding Brecon Beacons National Park) : proposed modifications : statement of decisions and reasons : April 2006","","013809826","Monograph","Language material ; Text","Volume","GBA761238","","Monmouthshire (Wales), County Council","","organisation","","Monmouthshire (Wales), County Council [organisation]","","","Wales","Cwmbran","Monmouthshire County Council","2006","","1 volume (unbound), 32 cm","","","Regional planning--Wales--Monmouthshire","","English",""
"Moods of Northumberland National Park","Northumberland National Park","006903973","Monograph","Language material ; Text","Volume","GBA4Y1723","9781841143729","Hopkins, Tony","1949-","person","","Hopkins, Tony, 1949- [person]","","","England","Tiverton","Halsgrove","2004","","144 pages, chiefly colour illustrations, 22 x 24 cm","942.8800222","LC.31.a.2807","Landscape photography--England--Northumberland National Park ; Northumberland National Park (England)--Pictorial works ; Nature photography--England--Northumberland National Park","Pictorial work","English",""
"Moods of the Brecon Beacons","Brecon Beacons","012874049","Monograph","Language material ; Text","Volume","GBA4X7035","9781841143507","Hutton, Tom","","person","","Hutton, Tom [person]","","","England","Tiverton","Halsgrove","2004","","144 pages, chiefly colour illustrations, 22 x 24 cm","942.956","LC.31.a.2806","Landscape photography--Wales--Brecon Beacons National Park ; Brecon Beacons National Park (Wales)--Pictorial works","Pictorial work","English",""
"Moor & heath : its conservation and management : Conference : Papers","Moor and heath: its conservation and management","005731587","Monograph","Language material ; Text","Volume","","9780948161018","","","","","Snowdonia National Park Authority, Forward Planning Department [organisation] ; Roberts, G. [person]","","","","","Snowdonia National Park Authority","1984","","","","87/03840","moor ; management ; heath ; conservation","","English",""
"Moor and health conservation in the North York Moors","","010396797","Monograph","Language material ; Text","Volume","","9780907480082","North York Moors National Park Committee","","organisation","","North York Moors National Park Committee [organisation]","","","","","North York Moors National Park Committee","1984","","","","f84/2151","","","English",""
"Moor and heath conservation in the Pembrokeshire coast National Park","","007793853","Monograph","Language material ; Text","Volume","","","Pembrokeshire Coast National Park Committee","","organisation","","Pembrokeshire Coast National Park Committee [organisation]","","","","","Pembrokeshire Coast National Park Committee","1981","","","307.12 ; 577","OP/LG-4481","Ecology ; Regional planning ; Urban planning & rural planning","","English",""
"Moor and heath: its conservation and management","Moor & heath : its conservation and management : Conference : Papers","005731587","Monograph","Language material ; Text","Volume","","9780948161018","","","","","Snowdonia National Park Authority, Forward Planning Department [organisation] ; Roberts, G. [person]","","","","","Snowdonia National Park Authority","1984","","","","87/03840","moor ; management ; heath ; conservation","","English",""
"Moorland Conservation on Exmoor : Porchester. Map 2","","012319995","Monograph","Language material ; Text","Volume","","","Exmoor national park authority","","organisation","","Exmoor national park authority [organisation]","","","","","Exmoor National Park Authority","1981","","","","f82/1960","","","English",""
"Moorland Management Programme","North York Moors Moorland Management Programme : 1985-1990","006376105","Monographic component part","Language material ; Text","Volume","","9780907480341","North York Moors National Park","","organisation","","North York Moors National Park [organisation]","","","","","North York Moors National Park","1991","","","577","6150.203950","Ecology","","English",""
"Moorland Research 1977-79","","014312216","Monograph","Language material ; Text","Volume","","","","","","","North York Moors National Park [organisation]","","","","","North York Moors National Park","1979","","","","84/17584","","","English",""
"Moorland conservation on Exmoor : Porchester map 2","","011051738","Monograph","Language material ; Text","Volume","","","","","","","Exmoor National Park Authority [organisation]","","","","Dulverton","Exmoor National Park Authority","1981","","","910","f82/1960","Geography","","English",""
